iraq	mosul	mosul
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	denmark	denmark
egypt	egypt	egypt
australia	australian	australian
vietnam	vietnam	vietnam
cuba	japan	japan
finland	denmark	denmark
pakistan	adnan	adnan
afghanistan	kashmiri	kashmiri
england	denmark	denmark
spain	spain	spain
russia	russia	russian
norway	norway	denmark
canada	canadiens	canadiens
france	france	france
italy	italy	italy
sweden	denmark	denmark
iran	iran	denmark
japan	japan	japan
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	cantons	cantons
egypt	u.n.	u.n.
australia	australian	australian
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	montenegro	montenegro
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	britain	britain
spain	argentina	argentina
russia	soviet	ussr
norway	norway	norway
canada	canada	canada
france	czechoslovakia	czechoslovakia
italy	vatican	vatican
sweden	nordic	nordic
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
china	china	china
germany	sweden	sweden
switzerland	denmark	denmark
egypt	egypt	naples
australia	zealand	zealand
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	denmark	sweden
pakistan	shetty	shetty
afghanistan	afghanistan	afghanistan
england	woolwich	woolwich
spain	paraguay	paraguay
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	mohammad	mohammad
japan	japan	japan
greece	greece	greece
iraq	basra	basra
germany	netherlands	netherlands
switzerland	switzerland	switzerland
egypt	egypt	egypt
australia	australian	hmas
vietnam	vietnam	vietnam
cuba	philippines	philippines
finland	korea	korea
pakistan	chittagong	chittagong
afghanistan	afghanistan	afghanistan
england	tyneside	tyneside
spain	spain	spain
russia	kazakhstan	kazakhstan
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
iraq	iraq	chittagong
thailand	thailand	thailand
switzerland	alsace	mecklenburg
egypt	egypt	uae
australia	iaf	iaf
vietnam	vietnam	vietnam
cuba	mexico	mexico
finland	belarus	belarus
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	britain	britain
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	montreal	montreal
france	france	france
italy	italy	italy
sweden	norway	norway
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
egypt	italy	italy
australia	australian	australian
vietnam	china	china
cuba	italy	italy
