iraq	abbasid	abbasid
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	denmark	denmark
egypt	egypt	egypt
australia	australian	australia
vietnam	vietnam	vietnam
cuba	japan	ecuador
finland	denmark	denmark
pakistan	adnan	adnan
afghanistan	kashmiri	kashmiri
england	denmark	denmark
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canadiens	canadiens
france	france	france
italy	italy	italy
sweden	denmark	denmark
iran	iran	denmark
japan	japan	japan
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	cantons	kinsey
egypt	iraqi	iraqi
australia	australian	australian
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	montenegro	montenegro
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	buckinghamshire	britain
spain	argentina	argentina
russia	kharkiv	kharkiv
norway	norway	norway
canada	canada	canada
france	czechoslovakia	czechoslovakia
italy	vatican	vatican
sweden	nordic	nordic
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
china	china	china
germany	sweden	sweden
switzerland	denmark	denmark
egypt	jeddah	naples
australia	zealand	zealand
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	sweden	sweden
pakistan	sardar	shetty
afghanistan	indonesia	afghanistan
england	woolwich	woolwich
spain	paraguay	paraguay
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	cuba	cuba
japan	japan	japan
greece	greece	greece
iraq	mosul	muhammad
germany	germany	germany
switzerland	spain	chittagong
egypt	egypt	egypt
australia	indonesia	indonesia
vietnam	vietnam	vietnam
cuba	philippines	philippines
finland	korea	korea
pakistan	chittagong	chittagong
afghanistan	afghanistan	afghanistan
england	netherlands	tyneside
spain	spain	spain
russia	kazakhstan	kazakhstan
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	spain
sweden	sweden	sweden
iran	iran	afghanistan
japan	japan	japan
greece	greece	greece
iraq	chittagong	chittagong
thailand	thailand	thailand
switzerland	switzerland	switzerland
egypt	egypt	egypt
australia	iaf	iaf
vietnam	vietnam	vietnam
cuba	haiti	haiti
finland	belarus	belarus
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	britain	britain
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	montreal	montreal
france	france	france
italy	italy	italy
sweden	norway	norway
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	china	china
egypt	italy	italy
australia	australian	australian
vietnam	china	china
