iraq	mosul	mosul
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	denmark	denmark
egypt	egypt	egypt
australia	australian	australian
vietnam	vietnam	vietnam
cuba	rico	rico
finland	denmark	denmark
pakistan	adnan	adnan
afghanistan	kashmiri	kashmiri
england	denmark	denmark
spain	spain	spain
russia	russian	russian
norway	norway	norway
canada	canadiens	canadiens
france	france	france
italy	italy	italy
sweden	denmark	denmark
iran	denmark	denmark
japan	japan	japan
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	cantons	cantons
egypt	afghanistan	afghanistan
australia	australian	australian
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	yugoslavia	montenegro
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	britain	britain
spain	argentina	argentina
russia	soviet	soviet
norway	norway	norway
canada	canada	canada
france	czechoslovakia	czechoslovakia
italy	vatican	vatican
sweden	nordic	nordic
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
china	china	china
germany	sweden	sweden
switzerland	denmark	denmark
egypt	egypt	jabal
australia	zealand	zealand
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	sweden	sweden
pakistan	nepal	nepal
afghanistan	afghanistan	afghanistan
england	woolwich	woolwich
spain	paraguay	paraguay
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	mohammad	mohammad
japan	japan	japan
greece	greece	greece
iraq	basra	basra
germany	germany	germany
switzerland	switzerland	chittagong
egypt	egypt	egypt
australia	queensland	hmas
vietnam	vietnam	vietnam
cuba	philippines	philippines
finland	korea	korea
pakistan	chittagong	chittagong
afghanistan	afghanistan	afghanistan
england	netherlands	tyneside
spain	spain	spain
russia	kazakhstan	kazakhstan
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
iraq	chittagong	chittagong
thailand	thailand	thailand
switzerland	switzerland	switzerland
egypt	egypt	egypt
australia	iaf	iaf
vietnam	vietnam	vietnam
cuba	haiti	haiti
finland	belarus	belarus
pakistan	pakistan	pakistan
afghanistan	afghanistan	afghanistan
england	britain	britain
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	montreal	montreal
france	france	france
italy	italy	italy
sweden	norway	norway
iran	afghanistan	afghanistan
japan	japan	japan
greece	greece	greece
iraq	iraq	iraq
thailand	thailand	thailand
china	nanjing	nanjing
egypt	italy	italy
australia	australian	australian
vietnam	china	china
