rougher	terrain	terrain
rough	!	!
roughest	nominated	bafta
rough	!	!
rougher	!	!
roughest	nominated	nominated
meaner	than	than
mean	!	!
meanest	nominated	bafta
mean	!	!
meaner	!	!
meanest	nominated	nominated
heavier	heavier	heavier
heavy	heaviest	heaviest
heaviest	nominated	nominated
heavy	heavier	heavy
heavier	heavier	heavier
heaviest	nominations	nominations
mightier	considerably	economies
mighty	!	!
mightiest	nominated	nominated
mighty	!	!
mightier	!	!
mightiest	nominated	nominated
noisier	safer	safer
noisy	!	!
noisiest	nominations	nominations
noisy	!	!
noisier	!	!
noisiest	nominated	nominated
worse	good	things
bad	school	school
worst	second-highest	second-highest
bad	school	school
worse	catastrophic	caused
worst	second-highest	second-highest
sadder	novi	feeling
sad	!	!
saddest	second-highest	meritorious
sad	!	!
sadder	!	!
saddest	!	!
wilder	deer	leopards
wild	prep	prep
wildest	second-highest	deer
wild	!	!
wilder	!	!
wildest	heroism	heroism
stricter	regulations	stringent
strict	strict	strict
strictest	regulations	regulations
strict	!	!
stricter	!	!
strictest	strict	strict
narrower	narrower	narrower
narrow	school	attended
narrowest	second-highest	second-highest
narrow	!	!
narrower	!	!
narrowest	wider	wider
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	though	though
earliest	late	late
early	dating	dating
earlier	within	within
earliest	previous	previous
fatter	fats	cholesterol
fat	!	!
fattest	fats	carbohydrates
fat	!	!
fatter	!	!
fattest	!	!
fuller	within	within
full	baker	macedon
fullest	list	list
full	intellect	ample
fuller	within	within
fullest	greats	greats
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	stringent	stringent
toughest	consistently	consistently
tough	tough	tough
tougher	upper	upper
toughest	stringent	surpassing
gentler	upper	demeanor
gentle	!	!
gentlest	calm	demeanor
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	longer	longer
shortest	novel	screenplays
short	paths	optimal
shorter	upper	shorter
shortest	longer	longer
softer	upper	upper
soft	texture	texture
softest	bristles	bristles
soft	!	!
softer	!	!
softest	finer	texture
older	upper	upper
old	65	alone
oldest	years	years
old	earliest	earliest
older	upper	upper
oldest	65	65
richer	much	richer
rich	rich	rich
richest	richest	richest
rich	wealthy	landowners
richer	smaller	richer
richest	richest	richest
weaker	stronger	weaker
weak	weak	weak
weakest	weaker	weaker
weak	small	tiny
weaker	smaller	stronger
weakest	second-largest	second-largest
prettier	stuff	stuff
pretty	!	!
prettiest	stuff	thats
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	cooler	cooler
cool	warm	warm
coolest	climates	climates
cool	temperatures	temperatures
cooler	warmer	cooler
coolest	warm	warm
luckier	much	stronger
lucky	!	!
luckiest	loser	operates
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	65	someone
light	heavier	much
lightest	ultraviolet	ultraviolet
light	!	!
lighter	!	!
lightest	heavier	2.2
shorter	65	alone
short	longer	longer
shortest	feature	feature
short	years	paths
shorter	65	65
shortest	longer	longer
fewer	alone	alone
few	than	than
fewest	one	one
few	shutouts	shutouts
fewer	65	avg
fewest	than	2.2
sharper	65	65
sharp	anglo-saxon	anglo-saxon
sharpest	blunt	blunt
sharp	!	!
sharper	!	!
sharpest	largest	2.1
taller	65	height
tall	height	height
tallest	tallest	tallest
tall	skyscraper	height
taller	65	64
tallest	tallest	tallest
smoother	slightly	slightly
smooth	air-breathing	air-breathing
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	disjoint	ensuring
nicer	strasbourg	strasbourg
nice	!	!
nicest	strasbourg	strasbourg
nice	!	!
nicer	!	!
nicest	!	!
broader	narrower	narrower
broad	broad	broad
broadest	narrower	narrower
broad	!	!
broader	!	!
broadest	broadly	broadly
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	much	much
great	within	within
greatest	gull	gull
great	notable	notable
greater	much	previous
greatest	west-central	lesser
wilder	feral	feral
wild	hitchcock	hitchcock
wildest	antelope	antelope
wild	!	!
wilder	!	!
wildest	kubrick	low-budget
smoother	convex	convex
smooth	texture	texture
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	rotational	elongation
mightier	anaheim	anaheim
mighty	!	!
mightiest	heroes	heroes
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	downward	downward
lean	!	!
leanest	slant	slant
lean	!	!
leaner	!	!
leanest	!	!
cleaner	sewage	sewage
clean	toilet	toilet
cleanest	sewage	sewage
clean	!	!
cleaner	!	!
cleanest	salesman	salesman
narrower	broad	broad
narrow	late	mid
narrowest	broad	broad
narrow	!	!
narrower	!	!
narrowest	wider	wider
colder	winters	warm
cold	warmer	temperatures
coldest	winters	warm
cold	lows	lows
colder	warmest	warmest
coldest	warmer	temperatures
noisier	loud	loud
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	deeper	deeper
deep	mid	mid
deepest	deepest	deepest
deep	late	deep
deeper	deep	deep
deepest	deep	cave
taller	height	height
tall	late	mid
tallest	height	height
tall	late	skyscrapers
taller	tower	tower
tallest	tall	tall
quicker	elder	pace
quick	faster	faster
quickest	pace	pace
quick	hkkinen	hkkinen
quicker	montoya	montoya
quickest	slower	slower
narrower	elder	narrower
narrow	broad	broad
narrowest	long	long
narrow	!	!
narrower	!	!
narrowest	wider	wider
deeper	deepest	deepest
deep	shallower	depths
deepest	deepest	deepest
deep	deep	deep
deeper	deep	deep
deepest	shallower	shallower
closer	brother	paternal
close	woman	woman
closest	closest	closest
close	close	close
closer	relatives	close
closest	farther	farther
taller	height	height
tall	tall	tall
tallest	height	height
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
kinder	something	something
kind	hairless	oblong
kindest	something	thing
kind	!	!
kinder	!	!
kindest	auf	oder
heavier	heavier	heavier
heavy	centimeters	inches
heaviest	heaviest	heaviest
heavy	inches	inches
heavier	heavier	heavier
heaviest	heaviest	heaviest
mightier	much	much
mighty	!	!
mightiest	streak	streak
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	much	softer
lean	!	!
leanest	streak	streak
lean	!	!
leaner	!	!
leanest	!	!
smarter	phones	phones
smart	!	!
smartest	phones	nokia
smart	!	!
smarter	!	!
smartest	!	!
milder	milder	milder
mild	winters	cool
mildest	winters	winters
mild	!	!
milder	!	!
mildest	winters	lows
weaker	weaker	weaker
weak	stronger	weak
weakest	cyclone	cyclone
weak	good	ugly
weaker	better	better
weakest	strongest	strongest
friendlier	friendlies	friendlies
friendly	!	!
friendliest	friendlies	friendlies
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	witty	thoughtful
lively	!	!
liveliest	vivid	vivid
lively	!	!
livelier	!	!
liveliest	!	!
younger	adults	parents
young	brother	brother
youngest	adults	child
young	son	son
younger	siblings	siblings
youngest	brother	brother
clearer	than	more
clear	next	next
clearest	single-season	shutouts
clear	!	!
clearer	!	!
clearest	shutouts	shutouts
friendlier	u21	u21
friendly	!	!
friendliest	scoring	scoring
friendly	!	!
friendlier	!	!
friendliest	!	!
cleaner	waste	cleaner
clean	later	later
cleanest	shutouts	shutouts
clean	!	!
cleaner	!	!
cleanest	single-season	single-season
stronger	stronger	stronger
strong	thirty	thirty
strongest	single-season	single-season
strong	hundred	strong
stronger	weaker	weaker
strongest	shutouts	shutouts
freer	than	poorer
free	twenty	once
freest	single-season	tying
free	!	!
freer	!	!
freest	rookies	rookies
tougher	durable	durable
tough	pac-12	pac-12
toughest	peaking	peaking
tough	pac-10	pac-10
tougher	heavier	flatter
toughest	number-one	number-one
funnier	entertaining	entertaining
funny	!	!
funniest	amusing	amusing
funny	comedy	skits
funnier	funny	funny
funniest	!	!
nicer	thats	thats
nice	!	!
nicest	toulouse	toulouse
nice	!	!
nicer	!	!
nicest	!	!
greater	much	much
great	within	within
greatest	greatest	greatest
great	all-americans	all-americans
greater	much	much
greatest	within	within
bolder	italics	italics
bold	!	!
boldest	italics	italics
bold	!	!
bolder	!	!
boldest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	impoverished	illiterate
poor	poor	poor
poorer	than	than
poorest	socioeconomic	socioeconomic
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	shorter	shorter
long	although	still
longest	centimeters	centimeters
long	time	time
longer	shorter	shorter
longest	long	long
harder	harder	harder
hard	hard	hard
hardest	metal	metal
hard	tough	hard
harder	than	than
hardest	cyclones	urge
wiser	than	progressively
wise	!	!
wisest	sayings	advises
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	later	later
earliest	late	late
early	dating	dating
earlier	dating	dating
earliest	unlike	unlike
sadder	feels	feels
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
darker	darker	darker
dark	brownish	brownish
darkest	brown	reddish
dark	few	few
darker	bullpen	bullpen
darkest	brownish	brownish
quicker	faster	faster
quick	slower	slower
quickest	pace	pace
quick	coulthard	coulthard
quicker	hkkinen	hkkinen
quickest	slower	pace
brighter	shades	brighter
bright	luminous	luminous
brightest	colour	hue
bright	galaxies	globular
brighter	constellation	brighter
brightest	luminous	luminous
cheaper	cheaper	cheaper
cheap	expensive	relatively
cheapest	!	!
cheap	narrow	narrow
cheaper	cheaper	cheaper
cheapest	!	!
higher	school	school
high	low	low
highest	!	!
high	second-highest	second-highest
higher	second-highest	second-highest
highest	!	!
fairer	fairs	fairs
fair	!	!
fairest	!	!
fair	sanfl	sanfl
fairer	kilda	kilda
fairest	!	!
wiser	intelligent	compassionate
wise	!	!
wisest	!	!
wise	narrow	narrow
wiser	wider	wider
wisest	!	!
taller	taller	taller
tall	tall	tall
tallest	!	!
tall	skyscraper	skyscraper
taller	skyscraper	taller
tallest	!	!
poorer	impoverished	poorer
poor	poor	poor
poorest	impoverished	impoverished
poor	poor	poor
poorer	richer	richer
poorest	poorest	poorest
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
busier	quieter	quieter
busy	!	!
busiest	busiest	busiest
busy	hub	hub
busier	hub	hub
busiest	!	!
taller	taller	taller
tall	tall	tall
tallest	height	height
tall	skyscraper	tower
taller	skyscraper	skyscraper
tallest	tall	tall
trickier	stronger	progressively
tricky	!	!
trickiest	jay-z	jay-z
tricky	!	!
trickier	!	!
trickiest	!	!
higher	school	higher
high	low	low
highest	school	prep
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	low
slower	slower	slower
slow	pace	pace
slowest	slower	slower
slow	pace	pace
slower	slower	slower
slowest	fastest	fastest
smarter	phones	phones
smart	!	!
smartest	phones	mobile
smart	!	!
smarter	!	!
smartest	!	!
older	stricter	uniformity
old	65	alone
oldest	today	today
old	dating	remain
older	dating	dating
oldest	65	alone
stronger	stronger	stronger
strong	extremely	strong
strongest	strongest	strongest
strong	strong	strong
stronger	typhoon	typhoon
strongest	weaker	weaker
cheaper	cheaper	cheaper
cheap	expensive	affordable
cheapest	expensive	expensive
cheap	affordable	affordable
cheaper	cheaper	cheaper
cheapest	expensive	expensive
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
bloodier	violent	violent
bloody	!	!
bloodiest	violent	violent
bloody	!	!
bloodier	!	!
bloodiest	!	!
wilder	feral	feral
wild	pre-code	bogart
wildest	deer	deer
wild	!	!
wilder	!	!
wildest	pre-code	pre-code
easier	easier	easier
easy	easy	easy
easiest	easier	difficult
easy	easy	easy
easier	easier	easier
easiest	difficult	difficult
rougher	softer	softer
rough	!	!
roughest	smooth	smooth
rough	!	!
rougher	!	!
roughest	!	!
fresher	dried	brackish
fresh	!	!
freshest	dried	dried
fresh	!	!
fresher	!	!
freshest	!	!
harsher	punishments	punishments
harsh	!	!
harshest	punishments	punishments
harsh	!	!
harsher	!	!
harshest	!	!
luckier	loser	loser
lucky	!	!
luckiest	loser	loser
lucky	!	!
luckier	!	!
luckiest	!	!
taller	taller	taller
tall	tall	tall
tallest	height	height
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	height	height
fatter	fats	fats
fat	!	!
fattest	calories	calories
fat	!	!
fatter	!	!
fattest	!	!
smoother	convex	whorl
smooth	long	hairy
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	20km	20km
fresher	dried	tomatoes
fresh	!	!
freshest	vegetables	vegetables
fresh	!	!
fresher	!	!
freshest	!	!
shorter	much	much
short	long	long
shortest	novel	novel
short	long	long
shorter	shorter	shorter
shortest	length	length
cleaner	waste	waste
clean	long	centimeter
cleanest	sanitation	sanitation
clean	!	!
cleaner	!	!
cleanest	18km	25km
fuller	much	much
full	baker	sr.
fullest	allowing	whose
full	exploit	exploit
fuller	quieter	exploit
fullest	johnson	johnson
firmer	consulting	llp
firm	!	!
firmest	consulting	consulting
firm	!	!
firmer	!	!
firmest	!	!
better	better	better
good	good	good
best	things	things
good	awards	awards
better	nominated	awards
best	what	what
mightier	than	than
mighty	!	!
mightiest	battled	battled
mighty	!	!
mightier	!	!
mightiest	!	!
longer	shorter	shorter
long	length	but
longest	centimeters	centimeters
long	span	span
longer	span	span
longest	only	only
greener	yellow	color
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
tastier	!	!
tasty	!	!
tastiest	!	!
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	toulouse	toulouse
nice	!	!
nicest	pretty	pretty
nice	!	!
nicer	!	!
nicest	!	!
slicker	much	bit
slick	!	!
slickest	slow	catchy
slick	!	!
slicker	!	!
slickest	!	!
noisier	loud	loud
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
swifter	faster	comparable
swift	!	!
swiftest	runner	runner
swift	!	!
swifter	!	!
swiftest	!	!
nicer	marseille	marseille
nice	!	!
nicest	thats	thats
nice	!	!
nicer	!	!
nicest	!	!
softer	softer	softer
soft	soft	soft
softest	texture	finishers
soft	!	!
softer	!	!
softest	soft	soft
trickier	faster	diddy
tricky	!	!
trickiest	diddy	2m
tricky	!	!
trickier	!	!
trickiest	!	!
greener	yellow	yellow
green	!	!
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	!	!
clearer	recent	recent
clear	york	york
clearest	another	huntsville
clear	!	!
clearer	!	!
clearest	skies	skies
healthier	healthier	healthier
healthy	york	york
healthiest	wellness	wellness
healthy	!	!
healthier	!	!
healthiest	healthy	healthy
faster	slower	slower
fastest	york	york
fast	vettel	overtaking
fastest	york	slow
faster	slow	faster
fast	slower	slowest
freer	linux	linux
free	york	ny
freest	available	available
free	!	!
freer	!	!
freest	smithsonian	curated
meaner	than	than
mean	!	!
meanest	coldest	coldest
mean	!	!
meaner	!	!
meanest	!	!
firmer	consulting	consulting
firm	!	!
firmest	consulting	consulting
firm	!	!
firmer	!	!
firmest	!	!
bigger	than	bigger
big	fiction	fiction
biggest	pac-10	pac-10
big	films	films
bigger	bigger	bigger
biggest	vertices	vertices
trickier	stronger	stronger
tricky	!	!
trickiest	diddy	obstacles
tricky	!	!
trickier	!	!
trickiest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	deepest	deepest
deep	deep	deep
deeper	deep	deeper
deepest	deep	deep
gentler	heavier	heavier
gentle	!	!
gentlest	!	!
gentle	ultraviolet	ultraviolet
gentler	heavier	heavier
gentlest	!	!
costlier	expensive	expensive
costly	!	!
costliest	!	!
costly	ultraviolet	ultraviolet
costlier	heavier	heavier
costliest	!	!
lower	higher	higher
low	wavelengths	wavelength
lowest	!	!
low	wavelengths	wavelengths
lower	heavier	heavier
lowest	!	!
fancier	heavier	heavier
fancy	!	!
fanciest	!	!
fancy	ultraviolet	ultraviolet
fancier	heavier	heavier
fanciest	!	!
cleaner	heavier	heavier
clean	illumination	illumination
cleanest	!	!
clean	ultraviolet	ultraviolet
cleaner	heavier	heavier
cleanest	!	!
steadier	slower	slower
steady	!	!
steadiest	pace	slowest
steady	!	!
steadier	!	!
steadiest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	impoverished	impoverished
poor	impoverished	economically
poorer	stronger	poorer
poorest	affluent	affluent
faster	slower	slower
fastest	slow	slow
fast	slowest	slowest
fastest	slow	slow
faster	slower	slower
fast	speeds	speeds
cleaner	waste	waste
clean	toilet	vacuum
cleanest	waste	waste
clean	!	!
cleaner	!	!
cleanest	nozzle	nozzle
softer	softer	softer
soft	soft	soft
softest	coated	coated
soft	!	!
softer	!	!
softest	jazzy	jazzy
richer	wealthy	wealthy
rich	potable	potable
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	!	!
lighter	incandescent	glow
light	heavier	heavier
lightest	!	!
light	waste	waste
lighter	quieter	quieter
lightest	!	!
simpler	simpler	simpler
simple	elegant	elegant
simplest	!	!
simple	cleaning	cleaning
simpler	simpler	simpler
simplest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	waste	waste
messier	quieter	quieter
messiest	!	!
friendlier	u21	u21
friendly	!	!
friendliest	!	!
friendly	waste	waste
friendlier	quieter	quieter
friendliest	!	!
higher	school	school
high	low	low
highest	!	!
high	second-highest	second-highest
higher	regulations	standards
highest	!	!
stickier	adhesive	adhesive
sticky	!	!
stickiest	!	!
sticky	stricter	stricter
stickier	regulations	regulations
stickiest	!	!
pricier	!	!
pricey	!	!
priciest	!	!
pricey	stricter	stricter
pricier	regulations	regulations
priciest	!	!
greater	tremendous	tremendous
great	within	within
greatest	!	!
great	regulations	enforced
greater	regulations	regulations
greatest	!	!
busier	congested	congested
busy	!	!
busiest	!	!
busy	regulations	regulations
busier	regulations	regulations
busiest	!	!
tougher	!	!
tough	sanctions	sanctions
toughest	!	!
tough	sanctions	sanctions
tougher	greatest	greatest
toughest	stronger	stronger
stricter	!	!
strict	strict	strict
strictest	!	!
strict	punishments	punishments
stricter	!	!
strictest	regulations	regulations
stiffer	!	!
stiff	punishments	punishments
stiffest	!	!
stiff	punishments	punishments
stiffer	!	!
stiffest	!	!
riskier	!	!
risky	punishments	punishments
riskiest	!	!
risky	punishments	punishments
riskier	!	!
riskiest	!	!
stronger	!	!
strong	weaker	weaker
strongest	!	!
strong	winds	winds
stronger	winds	winds
strongest	weaker	weaker
classier	!	!
classy	!	!
classiest	!	!
classy	quarterback	quarterback
classier	tougher	tougher
classiest	!	!
gentler	demeanor	demeanor
gentle	!	!
gentlest	!	!
gentle	quarterback	quarterback
gentler	tougher	tougher
gentlest	!	!
