model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.65199633938,0.597864079041,0.208701462857,0.641183768177,-0.00985820350475,0.297906191975,0.39275480966,0.407797789603,0.174875,0.19875
SVD,0.692265980017,0.605910922985,0.279490004016,0.562776524122,0.133179772859,0.339527189801,0.312730249693,0.344504707327,0.165625,0.17875
SGNSpinit1,0.64337174177,0.57198911699,0.235828464705,0.628163867832,0.0186080309254,0.310283573667,0.344555873926,0.322758902988,0.257625,0.241125
SGNSpinit2,0.653861272329,0.585921012795,0.231722879353,0.632199747574,0.0211620139404,0.324817703328,0.349774866967,0.324703233729,0.258,0.244875
SGNSpinit3,0.657449833693,0.580316309011,0.239947624702,0.6295980012,0.0175184303183,0.31490484374,0.342611543185,0.320047073271,0.259,0.2425
SGNSsvd,0.654684711955,0.600462946937,0.246845927515,0.63600312003,0.0330241930591,0.325527543949,0.363385182153,0.34670487106,0.26375,0.24675
SGNSpinit1-rev,0.627821070098,0.586619163614,0.239391615283,0.619777360495,0.0339873459779,0.322836306153,0.3487003684,0.327773229636,0.2525,0.239
SGNSpinit2-rev,0.643039640248,0.592019146481,0.237743546092,0.616170451619,0.0362402189767,0.320642029009,0.349621367172,0.328080229226,0.256125,0.24025
SGNSpinit3-rev,0.64695886857,0.598221890306,0.238508121173,0.616577339369,0.03581996835,0.314325885813,0.35560785919,0.333094555874,0.259,0.241125
SGNSsvd-rev,0.627561414049,0.570675303633,0.248455475672,0.633843543625,0.0486999512211,0.306760096057,0.373925501433,0.354175194433,0.261875,0.245375
