rougher	softer	softer
rough	!	!
roughest	nominated	bafta
rough	!	!
rougher	!	!
roughest	!	awards
meaner	significantly	significantly
mean	!	!
meanest	awards	emmy
mean	!	!
meaner	!	!
meanest	!	awards
heavier	heavier	heavier
heavy	heaviest	heaviest
heaviest	nominated	nominated
heavy	lightest	heavy
heavier	heavier	heavier
heaviest	nominations	nominations
mightier	easier	harder
mighty	!	!
mightiest	nominations	nominations
mighty	!	!
mightier	!	!
mightiest	!	awards
noisier	faster	louder
noisy	!	!
noisiest	awards	awards
noisy	!	!
noisier	!	!
noisiest	!	awards
worse	good	good
bad	school	school
worst	second-highest	second-highest
bad	school	9-12
worse	worse	worse
worst	second-highest	merit
sadder	novi	novi
sad	!	!
saddest	second-highest	novi
sad	!	!
sadder	!	!
saddest	!	!
wilder	animals	leopards
wild	school	preparatory
wildest	second-highest	animals
wild	!	!
wilder	!	!
wildest	gallantry	gallantry
stricter	stricter	stricter
strict	strict	strict
strictest	stringent	regulations
strict	!	!
stricter	!	!
strictest	regulations	regulations
narrower	narrower	narrower
narrow	broad	broad
narrowest	second-highest	narrowest
narrow	school	9-12
narrower	narrow	narrower
narrowest	second-highest	conspicuous
classier	voivodeship	pock
classy	!	!
classiest	stylish	stylish
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	last	last
earliest	late	late
early	dating	dating
earlier	dating	dating
earliest	later	later
fatter	calories	calories
fat	!	!
fattest	calories	calories
fat	!	!
fatter	!	!
fattest	!	!
fuller	maximum	maximum
full	webb	webb
fullest	one	one
full	newfound	sincerity
fuller	flexibility	flexibility
fullest	one	one
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	harsher	tough
toughest	ever	ever
tough	hardest	dangerous
tougher	upper	upper
toughest	harsher	harsher
gentler	upper	upper
gentle	!	!
gentlest	cheerful	descending
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	longer	longer
shortest	long	long
short	optimal	optimal
shorter	upper	upper
shortest	longer	longer
softer	upper	upper
soft	harder	harder
softest	texture	texture
soft	!	!
softer	!	!
softest	harder	harder
older	upper	upper
old	65	alone
oldest	cognate	cognate
old	dating	dated
older	upper	upper
oldest	65	65
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	rich	rich
richer	bigger	bigger
richest	richest	richest
weaker	stronger	stronger
weak	weak	weak
weakest	third-largest	weakening
weak	small	small
weaker	smaller	flatter
weakest	second-largest	second-largest
prettier	thing	thing
pretty	!	!
prettiest	thing	thing
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	cooler	cooler
cool	temperatures	humidity
coolest	warm	climates
cool	temperatures	temperatures
cooler	cooler	cooler
coolest	climates	climates
luckier	stronger	stiffer
lucky	!	!
luckiest	third-largest	third-largest
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	65	65
light	heavier	darker
lightest	ultraviolet	uv
light	weighing	kilograms
lighter	65	45
lightest	heavier	heavier
shorter	65	65
short	longer	longer
shortest	longest	longest
short	cognate	deriving
shorter	45	45
shortest	longer	longer
fewer	45	eighteen
few	than	least
fewest	only	one
few	shutouts	shutouts
fewer	45	fdp
fewest	dating	32.6
sharper	65	non-families
sharp	clearer	nearby
sharpest	serrated	serrated
sharp	!	!
sharper	!	!
sharpest	clearer	2.1
taller	65	height
tall	tall	tall
tallest	height	tallest
tall	skyscraper	skyscraper
taller	65	64
tallest	tallest	tallest
smoother	slightly	slightly
smooth	air-breathing	air-breathing
smoothest	projective	projective
smooth	!	!
smoother	!	!
smoothest	texture	texture
nicer	marseille	lyon
nice	!	!
nicest	marseille	marseille
nice	!	!
nicer	!	!
nicest	!	!
broader	narrower	narrower
broad	broad	broad
broadest	narrower	narrower
broad	broad	narrow
broader	narrower	narrower
broadest	broadest	broadest
savvier	than	than
savvy	!	!
savviest	frightening	frightening
savvy	!	!
savvier	!	!
savviest	!	!
greater	much	much
great	within	within
greatest	parrot	parrot
great	invertebrates	invertebrates
greater	larger	flatter
greatest	within	within
wilder	feral	feral
wild	hitchcock	niven
wildest	feral	feral
wild	!	!
wilder	!	!
wildest	mcclellan	scorsese
smoother	whorl	whorl
smooth	texture	smooth
smoothest	whorls	whorls
smooth	!	!
smoother	!	!
smoothest	texture	texture
mightier	anaheim	hades
mighty	!	!
mightiest	mediator	mediator
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	flatter	flatter
lean	!	!
leanest	leaning	leaning
lean	!	!
leaner	!	!
leanest	!	!
cleaner	cleaner	cleaner
clean	toilet	toilet
cleanest	sewage	sewage
clean	!	!
cleaner	!	!
cleanest	toilet	toilet
narrower	broad	broad
narrow	wider	wider
narrowest	broad	broad
narrow	late	1990s
narrower	entire	entire
narrowest	wider	wider
colder	warm	warm
cold	warmer	warmer
coldest	warm	warm
cold	lows	lows
colder	warmest	warmest
coldest	warmer	warmer
noisier	high-pitched	high-pitched
noisy	!	!
noisiest	noise	noise
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	deeper	deeper
deep	depths	depths
deepest	deepest	deepest
deep	mid	deep
deeper	deep	deep
deepest	depths	depths
taller	height	height
tall	late	height
tallest	height	height
tall	skyscrapers	skyscrapers
taller	skyscraper	skyscrapers
tallest	tall	tall
quicker	elder	elder
quick	faster	faster
quickest	fast	predeceased
quick	lap	lap
quicker	lap	keselowski
quickest	faster	fastest
narrower	narrower	narrower
narrow	wider	broad
narrowest	broad	narrower
narrow	girl	girl
narrower	narrow	narrow
narrowest	wider	broad
deeper	deeper	deeper
deep	depths	depths
deepest	deepest	deepest
deep	deep	deep
deeper	deep	deep
deepest	depths	depths
closer	brother	brother
close	middle-aged	middle-aged
closest	eldest	closest
close	close	close
closer	closer	closer
closest	closest	closest
taller	height	taller
tall	tall	tall
tallest	height	height
tall	skyscraper	tall
taller	skyscraper	skyscraper
tallest	tall	tallest
kinder	even	even
kind	centimeters	5mm
kindest	thing	ever
kind	!	!
kinder	!	!
kindest	sich	trestle
heavier	heavier	heavier
heavy	centimeters	millimeters
heaviest	heaviest	heaviest
heavy	weighed	weighed
heavier	heavier	heavier
heaviest	heaviest	heaviest
mightier	than	stronger
mighty	!	!
mightiest	streak	streak
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	much	flatter
lean	!	!
leanest	streak	streak
lean	!	!
leaner	!	!
leanest	!	!
smarter	phones	smarter
smart	leathery	bracts
smartest	streak	streak
smart	!	!
smarter	!	!
smartest	bridges	bridges
milder	milder	milder
mild	mild	mild
mildest	winters	wettest
mild	!	!
milder	!	!
mildest	winters	wettest
weaker	weakened	weakened
weak	stronger	weak
weakest	strongest	hurricane
weak	good	good
weaker	too	mentally
weakest	strongest	strongest
friendlier	friendlies	friendlies
friendly	!	!
friendliest	friendlies	friendlies
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	colorful	colorful
lively	!	!
liveliest	colorful	colorful
lively	!	!
livelier	!	!
liveliest	!	!
younger	adults	adults
young	brother	brother
youngest	teens	talented
young	younger	younger
younger	younger	younger
youngest	brother	brother
clearer	than	more
clear	later	once
clearest	shutouts	registering
clear	!	!
clearer	!	!
clearest	shutouts	shutouts
friendlier	friendlies	friendlies
friendly	!	!
friendliest	friendlies	5-1
friendly	!	!
friendlier	!	!
friendliest	!	!
cleaner	cleaner	cleaner
clean	later	clean
cleanest	shutouts	shutouts
clean	!	!
cleaner	!	!
cleanest	shutouts	shutouts
stronger	stronger	stronger
strong	strong	strong
strongest	shutouts	shutouts
strong	hundred	fifty
stronger	weaker	weaker
strongest	shutouts	shutouts
freer	than	fee
free	remained	remained
freest	unrestricted	unrestricted
free	!	!
freer	!	!
freest	shutouts	shutouts
tougher	harder	harder
tough	ncaa	ncaa
toughest	competitor	competitor
tough	wac	wac
tougher	harder	harder
toughest	enforced	enforced
funnier	fun	fun
funny	!	!
funniest	hilarious	hilarious
funny	comedy	comedy
funnier	than	than
funniest	!	!
nicer	maybe	maybe
nice	!	!
nicest	stade	stade
nice	!	!
nicer	!	!
nicest	!	!
greater	much	much
great	within	within
greatest	considerable	considerable
great	ncaa	ncaa
greater	much	much
greatest	within	within
bolder	larger	heavier
bold	!	!
boldest	italics	italics
bold	!	!
bolder	!	!
boldest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	impoverished	poorest
poor	poor	poor
poorer	than	than
poorest	poorest	poorest
messier	thinner	thinner
messy	galaxies	galaxies
messiest	ugly	ugly
messy	!	!
messier	!	!
messiest	galaxies	galaxies
longer	shorter	shorter
long	few	few
longest	centimeters	centimeters
long	lasted	lasted
longer	shorter	shorter
longest	hurricane	hurricane
harder	harder	harder
hard	hard	hard
hardest	rock	rock
hard	particularly	hard
harder	harder	harder
hardest	hurricane	hurricane
wiser	neowise	neowise
wise	!	!
wisest	neowise	neowise
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	last	last
earliest	late	late
early	dated	earlier
earlier	dated	back
earliest	earliest	earliest
sadder	novi	feels
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
darker	darker	darker
dark	paler	paler
darkest	pale	silvery
dark	stormy	stormy
darker	darkness	darkness
darkest	paler	paler
quicker	fast	faster
quick	faster	faster
quickest	fast	pace
quick	hkkinen	hkkinen
quicker	lap	ahead
quickest	faster	fastest
brighter	brighter	brighter
bright	brightest	brightest
brightest	yellow	yellow
bright	constellation	star
brighter	constellation	constellation
brightest	luminous	luminous
cheaper	cheaper	cheaper
cheap	expensive	expensive
cheapest	inexpensive	inexpensive
cheap	expensive	expensive
cheaper	cheaper	cheaper
cheapest	inexpensive	inexpensive
higher	school	school
high	low	low
highest	school	school
high	second-highest	second-highest
higher	second-highest	second-highest
highest	lowest	lowest
fairer	fest	fest
fair	!	!
fairest	expo	expo
fair	sanfl	footscray
fairer	essendon	essendon
fairest	!	!
wiser	brave	brave
wise	!	!
wisest	neowise	dignified
wise	!	!
wiser	!	!
wisest	!	!
taller	height	taller
tall	tall	tall
tallest	30cm	clumps
tall	skyscraper	skyscraper
taller	skyscraper	taller
tallest	tall	tall
poorer	poorer	poorer
poor	wealthier	poor
poorest	inadequate	inadequate
poor	impoverished	impoverished
poorer	poorer	poorer
poorest	wealthier	wealthier
messier	stiffer	stiffer
messy	galaxies	galaxies
messiest	tedious	puzzle
messy	!	!
messier	!	!
messiest	galaxies	brightest
busier	easier	easier
busy	!	!
busiest	bustling	bustling
busy	hub	hubs
busier	hub	hub
busiest	!	!
taller	taller	taller
tall	tall	tall
tallest	height	height
tall	skyscraper	skyscraper
taller	skyscraper	skyscraper
tallest	tall	tall
trickier	easier	stiffer
tricky	!	!
trickiest	navigating	navigating
tricky	!	!
trickier	!	!
trickiest	!	!
higher	school	school
high	low	low
highest	school	prep
high	second-highest	second-highest
higher	second-highest	second-highest
highest	low	level
slower	slower	slower
slow	faster	pace
slowest	slower	slower
slow	fastest	seconds
slower	slower	slower
slowest	faster	slowest
smarter	mobile	devices
smart	hard-working	intelligent
smartest	mobile	mobile
smart	!	!
smarter	!	!
smartest	ever	recognized
older	derived	derived
old	alone	alone
oldest	derived	derived
old	surviving	old
older	dating	dating
oldest	65	living
stronger	stronger	stronger
strong	hard-working	hard-working
strongest	strongest	strongest
strong	hurricane	strong
stronger	stronger	stronger
strongest	weaker	strongest
cheaper	cheaper	cheaper
cheap	expensive	expensive
cheapest	cheaper	cheaper
cheap	affordable	affordable
cheaper	cheaper	cheaper
cheapest	expensive	expensive
classier	elegant	elegant
classy	!	!
classiest	stylish	flamboyant
classy	!	!
classier	!	!
classiest	!	!
bloodier	brutal	brutal
bloody	!	!
bloodiest	brutal	brutal
bloody	!	!
bloodier	!	!
bloodiest	!	!
wilder	feral	feral
wild	brig.	ewell
wildest	deer	deer
wild	!	!
wilder	!	!
wildest	rutledge	rutledge
easier	easier	easier
easy	easy	easy
easiest	easier	difficult
easy	easy	easy
easier	easier	easier
easiest	difficult	difficult
rougher	softer	softer
rough	!	!
roughest	surfaces	surfaces
rough	!	!
rougher	!	!
roughest	!	!
fresher	sour	sour
fresh	!	!
freshest	sour	sour
fresh	!	!
fresher	!	!
freshest	!	!
harsher	harsher	harsher
harsh	harsh	harsh
harshest	cruel	cruel
harsh	!	!
harsher	!	!
harshest	punishments	punishments
luckier	gotten	gotten
lucky	!	!
luckiest	luck	luck
lucky	!	!
luckier	!	!
luckiest	!	!
taller	taller	taller
tall	tall	tall
tallest	height	height
tall	towers	towers
taller	skyscraper	taller
tallest	tall	tall
fatter	calories	calories
fat	!	!
fattest	calories	calories
fat	!	!
fatter	!	!
fattest	!	!
smoother	tubercles	tubercles
smooth	thick	thick
smoothest	tubercles	tubercles
smooth	!	!
smoother	!	!
smoothest	dries	dries
fresher	sour	onions
fresh	!	!
freshest	tomatoes	tomatoes
fresh	!	!
fresher	!	!
freshest	!	!
shorter	shorter	shorter
short	long	long
shortest	feature-length	feature-length
short	paths	paths
shorter	shorter	shorter
shortest	length	length
cleaner	cleaner	cleaner
clean	toilet	toilet
cleanest	sanitation	sanitation
clean	!	!
cleaner	!	!
cleanest	toilet	toilet
fuller	much	reduced
full	mitchell	mitchell
fullest	maximum	depending
full	inexpensive	prosperity
fuller	faster	faster
fullest	bennett	bennett
firmer	llp	llp
firm	!	!
firmest	llp	llp
firm	!	!
firmer	!	!
firmest	!	!
better	better	better
good	good	good
best	things	things
good	awards	awards
better	awards	awards
best	good	ever
mightier	stiffer	stiffer
mighty	!	!
mightiest	heavens	heavens
mighty	!	!
mightier	!	!
mightiest	!	!
longer	centimeters	shorter
long	short	any
longest	centimeters	centimeters
long	span	span
longer	longer	longer
longest	duration	shortest
greener	blue	blue
green	podium	eighth
greenest	blue	blue
green	!	!
greener	!	!
greenest	left-arm	left-arm
tastier	easier	easier
tasty	!	!
tastiest	salads	salads
tasty	!	!
tastier	!	!
tastiest	!	!
nicer	marseille	marseille
nice	!	!
nicest	marseille	incredibly
nice	!	!
nicer	!	!
nicest	!	!
slicker	much	much
slick	!	!
slickest	clever	clever
slick	!	!
slicker	!	!
slickest	!	!
noisier	much	louder
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
swifter	carey	carey
swift	!	!
swiftest	rihanna	rihanna
swift	!	!
swifter	!	!
swiftest	!	!
nicer	marseille	marseille
nice	!	!
nicest	marseille	doesnt
nice	!	!
nicer	!	!
nicest	!	!
softer	softer	softer
soft	textures	soft
softest	finishers	finishers
soft	!	!
softer	!	!
softest	harder	harder
trickier	quicker	stronger
tricky	!	!
trickiest	finishers	finishers
tricky	!	!
trickier	!	!
trickiest	!	!
greener	yellow	shades
green	york	jersey
greenest	yellow	yellow
green	!	!
greener	!	!
greenest	ict	ict
clearer	larger	larger
clear	york	york
clearest	consistent	credible
clear	!	!
clearer	!	!
clearest	sharper	strives
healthier	healthier	healthier
healthy	york	york
healthiest	nutrition	nutrition
healthy	!	!
healthier	!	!
healthiest	healthy	healthy
faster	slower	slower
fastest	york	york
fast	slowest	slowest
fastest	slow	slow
faster	faster	faster
fast	quicker	slowest
freer	available	available
free	york	york
freest	download	download
free	!	!
freer	!	!
freest	lucid	lucid
meaner	varies	varies
mean	!	!
meanest	optimal	optimal
mean	!	!
meaner	!	!
meanest	!	!
firmer	llp	llp
firm	!	!
firmest	llp	llp
firm	!	!
firmer	!	!
firmest	!	!
bigger	conference	conference
big	fiction	fiction
biggest	conference	colspan
big	feature	feature
bigger	bigger	bigger
biggest	node	node
trickier	than	than
tricky	!	!
trickiest	node	node
tricky	!	!
trickier	!	!
trickiest	!	!
deeper	deeper	deeper
deep	depths	deep
deepest	deepest	deepest
deep	deep	deep
deeper	deeper	deeper
deepest	depths	depths
gentler	heavier	graceful
gentle	!	!
gentlest	heaviest	heaviest
gentle	!	!
gentler	!	!
gentlest	!	!
costlier	expensive	expensive
costly	!	!
costliest	expensive	expensive
costly	!	!
costlier	!	!
costliest	!	!
lower	higher	higher
low	upper	leds
lowest	higher	ratios
low	wavelengths	wavelengths
lower	higher	higher
lowest	upper	upper
fancier	heavier	heavier
fancy	!	!
fanciest	heaviest	heaviest
fancy	!	!
fancier	!	!
fanciest	!	!
cleaner	heavier	heavier
clean	uv	uv
cleanest	heaviest	heaviest
clean	!	!
cleaner	!	!
cleanest	cleaners	toilet
steadier	slower	slower
steady	!	!
steadiest	slowing	slowing
steady	!	!
steadier	!	!
steadiest	!	!
poorer	poorer	poorer
poor	poor	poor
poorest	poorest	poorest
poor	poor	poor
poorer	poorer	wealthier
poorest	poorest	poorest
faster	slower	slower
fastest	slow	slow
fast	slowest	slowest
fastest	slow	slow
faster	faster	faster
fast	speeds	speeds
cleaner	cleaner	cleaner
clean	toilet	toilet
cleanest	sewage	sewage
clean	!	!
cleaner	!	!
cleanest	toilet	toilet
softer	softer	softer
soft	soft	soft
softest	texture	coated
soft	!	!
softer	!	!
softest	texture	softly
richer	richer	richer
rich	groundwater	groundwater
richest	!	!
rich	wealthiest	wealthiest
richer	wealthiest	wealthiest
richest	!	!
lighter	incandescent	incandescent
light	heavier	heavier
lightest	!	!
light	heavier	heavier
lighter	heavier	heavier
lightest	!	!
simpler	simpler	simpler
simple	simple	simple
simplest	!	!
simple	cleaning	cleaning
simpler	simpler	simpler
simplest	!	!
messier	hotter	hotter
messy	galaxies	galaxies
messiest	!	!
messy	sewage	sanitation
messier	cleaners	cleaners
messiest	!	!
friendlier	friendlies	friendlies
friendly	!	!
friendliest	!	!
friendly	sewage	sanitation
friendlier	cleaners	cleaners
friendliest	!	!
higher	school	school
high	low	low
highest	!	!
high	stringent	standards
higher	regulations	stringent
highest	!	!
stickier	mucus	mucus
sticky	!	!
stickiest	!	!
sticky	stricter	stricter
stickier	regulations	regulations
stickiest	!	!
pricier	!	!
pricey	!	!
priciest	!	!
pricey	stricter	stricter
pricier	regulations	regulations
priciest	!	!
greater	immense	immense
great	within	within
greatest	!	!
great	stringent	stringent
greater	regulations	strict
greatest	!	!
busier	thoroughfares	thoroughfares
busy	!	!
busiest	!	!
busy	stricter	stricter
busier	regulations	regulations
busiest	!	!
tougher	tougher	tougher
tough	tough	tough
toughest	!	!
tough	endure	endure
tougher	sanctions	sanctions
toughest	!	!
stricter	stricter	stricter
strict	strict	strict
strictest	!	!
strict	conditions	conditions
stricter	punishments	punishments
strictest	!	!
stiffer	slender	slender
stiff	rigid	rigid
stiffest	!	!
stiff	conditions	conditions
stiffer	punishments	punishments
stiffest	!	!
riskier	lenders	investing
risky	!	!
