model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.696512724293,0.661537031237,0.232399846052,0.653118091459,0.0472589556517,0.320694375872,0.484496520671,0.53126279165,0.216375,0.265875
SVD,0.740672121347,0.632275617075,0.27763449009,0.550107332817,0.175279821056,0.344526714506,0.350388866148,0.382367990176,0.1805,0.195625
SGNSpinit1,0.751968577843,0.677796689903,0.27224694836,0.662203723053,0.0932273566675,0.385753317007,0.562576749898,0.557920589439,0.4065,0.42375
SGNSpinit2,0.746048141503,0.660120234201,0.277731925859,0.664831105147,0.0938295640349,0.383726104948,0.558790421613,0.557613589849,0.40575,0.419375
SGNSpinit3,0.74588962243,0.663661599467,0.276829425521,0.658370907902,0.0910014510429,0.383409490352,0.556436758084,0.554799426934,0.40175,0.41975
SGNSsvd,0.751852378341,0.67861707182,0.272927557879,0.6761384175,0.100109819476,0.380530783029,0.560376586165,0.558739255014,0.40575,0.424125
SGNSpinit1-rev,0.759256868811,0.67510532729,0.28057838619,0.682889248742,0.091777598944,0.377169691314,0.562269750307,0.561655751126,0.3965,0.412875
SGNSpinit2-rev,0.763460134737,0.688468403848,0.272272109316,0.682683139741,0.0884480880805,0.376192892258,0.563190749079,0.561092918543,0.4,0.4185
SGNSpinit3-rev,0.756595039485,0.677214773663,0.274418046049,0.696961264579,0.0744053621765,0.375943349886,0.556129758494,0.55229226361,0.39875,0.41775
SGNSsvd-rev,0.75564751145,0.670620972755,0.274065793028,0.680356798625,0.0958814970424,0.374552670979,0.563293082276,0.559813753582,0.403,0.422375
