model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.570334511926,0.423469305622,0.155503160851,0.59296482934,-0.018214908597,0.262695736498,0.29835243553,0.400173966435,0.188125,0.275625
SVD,0.676946990399,0.559294844018,0.270343691328,0.510643618673,0.121368288268,0.385255064132,0.284332787556,0.321223905035,0.24375,0.26525
SGNSpinit1,0.646594489363,0.516067528934,0.228676884367,0.60780755037,0.0180431322589,0.33408188541,0.348649201801,0.355710192386,0.394125,0.41175
SGNSpinit2,0.652446792415,0.505169681673,0.230929209042,0.618659497955,0.0199432512455,0.33991950868,0.358319688907,0.366301678264,0.3945,0.41525
SGNSpinit3,0.644422559759,0.552584409735,0.223403711204,0.603242260068,0.0166300229077,0.336293572024,0.349263200982,0.356631191158,0.391,0.4115
SGNSsvd,0.643893205714,0.531381882058,0.232327471125,0.613729378947,0.0219451112431,0.323455977652,0.365994678674,0.371623004503,0.39625,0.41575
SGNSpinit1-rev,0.651316356135,0.51439301368,0.231268021301,0.592064319601,0.0194709814178,0.318704066936,0.3651248465,0.373158002456,0.397,0.414875
SGNSpinit2-rev,0.669550379409,0.539170290223,0.225457262959,0.591965326325,0.0188555713271,0.325971045836,0.355505525993,0.361543184609,0.398,0.41875
SGNSpinit3-rev,0.652327723619,0.542894643116,0.228855063298,0.606588410093,0.0110848538249,0.329584133716,0.35755218993,0.366404011461,0.394125,0.4145
SGNSsvd-rev,0.641324619217,0.531867813936,0.23240525895,0.614829473463,0.0182068581828,0.328921522031,0.386051985264,0.39208964388,0.39425,0.411625
