rougher	stanton	stanton
rough	!	!
roughest	eskimos	eskimos
rough	!	!
rougher	!	!
roughest	!	!
meaner	measurements	measurements
mean	!	!
meanest	asl	asl
mean	!	!
meaner	!	!
meanest	!	!
heavier	heavier	heavier
heavy	loads	loads
heaviest	heavier	heavier
heavy	measurable	morale
heavier	lighter	lighter
heaviest	axial	axial
mightier	stunned	stunned
mighty	!	!
mightiest	cinematography	cinematography
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	discrete	discrete
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
worse	rhineland-palatinate	rhineland-palatinate
bad	severe	retire
worst	punished	punished
bad	school	computers
worse	controls	controls
worst	worst	worst
sadder	novi	192
sad	!	!
saddest	amor	amor
sad	!	!
sadder	!	!
saddest	!	!
wilder	domesticated	domesticated
wild	unionist	portray
wildest	weber	weber
wild	!	!
wilder	!	!
wildest	steele	steele
stricter	spouses	spouses
strict	!	!
strictest	ranking	ranking
strict	!	!
stricter	!	!
strictest	!	!
narrower	thinner	thinner
narrow	slender	slender
narrowest	resorts	resorts
narrow	!	!
narrower	!	!
narrowest	spines	suriname
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	accelerated	compulsory
early	genesis	genesis
earliest	late	indefinitely
early	excavations	excavations
earlier	furnaces	furnaces
earliest	genesis	genesis
fatter	nutrient	fats
fat	!	!
fattest	nasty	flavors
fat	!	!
fatter	!	!
fattest	!	!
fuller	compatible	tape
full	pleading	simpson
fullest	whitaker	whitaker
full	!	!
fuller	!	!
fullest	homecoming	homecoming
costlier	oxidative	oxidative
costly	!	!
costliest	tough	tough
costly	!	!
costlier	!	!
costliest	!	!
tougher	anal	anal
tough	!	!
toughest	contentious	contentious
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	reddish
gentle	!	!
gentlest	jams	jams
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	anal	anal
short	relatively	unsuitable
shortest	lineman	lineman
short	interception	flash
shorter	desired	championed
shortest	concertos	olympics
softer	anal	anal
soft	inexpensive	inexpensive
softest	glands	glands
soft	!	!
softer	!	!
softest	displaying	displaying
older	upper	baba
old	5.5	zee
oldest	clarendon	clarendon
old	surviving	surviving
older	housed	housed
oldest	5.5	5.5
richer	jams	jams
rich	dangers	dangers
richest	sugarcane	sugarcane
rich	wealth	arrogant
richer	padua	padua
richest	second-largest	second-largest
weaker	=	=
weak	zombie	positively
weakest	turf	turf
weak	!	!
weaker	!	!
weakest	overthrown	overthrown
prettier	nigel	nigel
pretty	!	!
prettiest	shit	shit
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	temperature	temperature
cool	ventilation	ventilation
coolest	hottest	hottest
cool	!	!
cooler	!	!
coolest	second-largest	second-largest
luckier	bang	dre
lucky	!	!
luckiest	richest	richest
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	compatibility	compatibility
light	slightly	slightly
lightest	kaiser	kaiser
light	!	!
lighter	!	!
lightest	innsbruck	innsbruck
shorter	kendrick	kendrick
short	tide	takeoff
shortest	slender	kaiser
short	revisited	obviously
shorter	westbound	healthy
