rougher	accordingly	accordingly
rough	!	!
roughest	nickelodeon	nickelodeon
rough	!	!
rougher	!	!
roughest	!	!
meaner	significantly	significantly
mean	!	!
meanest	filmfare	filmfare
mean	!	!
meaner	!	!
meanest	!	!
heavier	punjabi	punjabi
heavy	rude	rude
heaviest	punjabi	punjabi
heavy	tonnage	tonnage
heavier	shear	shear
heaviest	filmfare	filmfare
mightier	trojan	trojan
mighty	!	!
mightiest	nickelodeon	nickelodeon
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	dissatisfaction	dissatisfaction
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
worse	rhineland-palatinate	rhineland-palatinate
bad	defences	defences
worst	resorts	resorts
bad	elementary	rabbit
worse	interference	interference
worst	breakaway	breakaway
sadder	wrong	wrong
sad	!	!
saddest	amor	amor
sad	!	!
sadder	!	!
saddest	!	!
wilder	domesticated	domesticated
wild	tate	tate
wildest	domesticated	pomeranian
wild	!	!
wilder	!	!
wildest	co-starred	co-starred
stricter	submit	anal
strict	!	!
strictest	whatsoever	whatsoever
strict	!	!
stricter	!	!
strictest	!	!
narrower	distal	distal
narrow	elegant	elegant
narrowest	crossings	crossings
narrow	!	!
narrower	!	!
narrowest	easternmost	detailing
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	preschool	preschool
early	yarmouth	yarmouth
earliest	digest	digest
early	quaker	quaker
earlier	existing	integrated
earliest	genesis	genesis
fatter	toxins	toxins
fat	!	!
fattest	digest	digest
fat	!	!
fatter	!	!
fattest	!	!
fuller	degrees	degrees
full	knoll	muller
fullest	digest	digest
full	!	!
fuller	!	!
fullest	ambrose	ambrose
costlier	lowering	attacker
costly	!	!
costliest	lowering	hardest
costly	!	!
costlier	!	!
costliest	!	!
tougher	199192	199192
tough	!	!
toughest	under-18	waltz
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	upper
gentle	!	!
gentlest	dharma	dharma
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	anal
short	acetate	acetate
shortest	mcbride	mcbride
short	connecting	connecting
shorter	forth	forth
shortest	mode	mode
softer	anal	anal
soft	saturated	saturated
softest	mcbride	moonlight
soft	!	!
softer	!	!
softest	saturated	geometric
older	parishioners	parishioners
old	6.9	loneliness
oldest	betting	betting
old	drug	drug
older	housed	housed
oldest	6.9	6.9
richer	boundaries	boundaries
rich	sizeable	haley
richest	turf	turf
rich	advantageous	fancy
richer	hellenistic	hellenistic
richest	woreda	mar
weaker	compensate	substance
weak	well-defined	despair
weakest	turf	turf
weak	!	!
weaker	!	!
weakest	setback	setback
prettier	olympiacos	olympiacos
pretty	!	!
prettiest	ton	ton
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	monterey	monterey
cool	warm	warm
coolest	best-selling	best-selling
cool	!	!
cooler	!	!
coolest	subtropical	subtropical
luckier	olympiacos	olympiacos
lucky	!	!
luckiest	fictionalized	fictionalized
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	explosions	explosions
light	steamer	steamer
lightest	lit	lit
light	!	!
lighter	!	!
lightest	housed	housed
shorter	spielberg	kendrick
short	shortest	shortest
shortest	slender	slender
short	rejects	controller
shorter	44	44
