rougher	transient	transient
rough	!	!
roughest	compilation	compilation
rough	!	!
rougher	!	!
roughest	!	!
meaner	ratios	recoil
mean	!	!
meanest	filmfare	filmfare
mean	!	!
meaner	!	!
meanest	!	!
heavier	recoil	recoil
heavy	full-length	full-length
heaviest	filmfare	collective
heavy	rot	rot
heavier	kg	kg
heaviest	emmy	emmy
mightier	rana	rana
mighty	!	!
mightiest	filmfare	rana
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	modular	modular
noisy	!	!
noisiest	filmfare	filmfare
noisy	!	!
noisier	!	!
noisiest	!	!
worse	rhineland-palatinate	rhineland-palatinate
bad	blow	blow
worst	rhineland-palatinate	rhineland-palatinate
bad	school	school
worse	ion	ion
worst	roberto	roberto
sadder	veil	veil
sad	!	!
saddest	vojvodina	vojvodina
sad	!	!
sadder	!	!
saddest	!	!
wilder	geese	geese
wild	cooper	cooper
wildest	boar	libre
wild	!	!
wilder	!	!
wildest	sen.	sen.
stricter	binary	planck
strict	!	!
strictest	treatise	treatise
strict	!	!
stricter	!	!
strictest	!	!
narrower	narrower	narrower
narrow	narrow	narrow
narrowest	fuscous	petals
narrow	!	!
narrower	!	!
narrowest	easternmost	easternmost
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	increase	curricula
early	yarmouth	yarmouth
earliest	late	late
early	extant	extant
earlier	existing	existing
earliest	chronicles	chronicles
fatter	coronary	coronary
fat	!	!
fattest	digest	gpa
fat	!	!
fatter	!	!
fattest	!	!
fuller	obtain	obtain
full	davy	davy
fullest	fide	fide
full	!	!
fuller	!	!
fullest	helms	helms
costlier	increase	increase
costly	!	!
costliest	rodriguez	worker
costly	!	!
costlier	!	!
costliest	!	!
tougher	contentious	contentious
tough	!	!
toughest	under-18	urge
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	humble
gentle	!	!
gentlest	disgusted	disgusted
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	fabian
short	acetate	zee
shortest	fabian	fabian
short	daytime	daytime
shorter	upper	aspirations
shortest	acetate	acetate
softer	yellowish	yellowish
soft	liquids	silly
softest	spines	spines
soft	!	!
softer	!	!
softest	calculating	calculating
older	encompasses	encompasses
old	7.1	7.1
oldest	biblical	biblical
old	arnold	arnold
older	miocene	miocene
oldest	5.5	5.5
richer	promises	ng
rich	doric	doric
richest	richest	richest
rich	bows	bows
richer	terraced	terraced
richest	richest	richest
weaker	330	330
weak	commandant	commandant
weakest	nielsen	nielsen
weak	!	!
weaker	!	!
weakest	gdp	commandant
prettier	you	twist
pretty	!	!
prettiest	nielsen	nielsen
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	kppen	kppen
cool	temperatures	warm
coolest	kppen	nielsen
cool	!	!
cooler	!	!
coolest	second-largest	second-largest
luckier	chili	britten
lucky	!	!
luckiest	nielsen	nielsen
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	radars	radars
light	wings	wings
lightest	emitted	emitted
light	!	!
lighter	!	!
lightest	old-fashioned	old-fashioned
shorter	6.3	vision
short	shortest	'clock
shortest	nhk	nhk
short	route	javier
shorter	7.5	7.5
shortest	innsbruck	innsbruck
fewer	280	280
few	allocated	allocated
fewest	most	most
few	!	!
fewer	!	!
fewest	medicinal	medicinal
sharper	acceleration	acceleration
sharp	!	!
sharpest	flattened	chairman
sharp	!	!
sharper	!	!
sharpest	!	!
taller	4.4	4.4
tall	richest	richest
tallest	grows	grows
tall	skyline	skyline
taller	6.3	6.3
tallest	possesses	possesses
smoother	velocities	velocities
smooth	!	!
smoothest	finite	finite
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	boca	boca
nice	!	!
nicest	cannes	cannes
nice	!	!
nicer	!	!
nicest	!	!
broader	progressively	progressively
broad	grassroots	grassroots
broadest	winnipeg	winnipeg
broad	!	!
broader	!	!
broadest	intellectual	intellectual
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	unwanted	nerves
great	within	within
greatest	identities	identities
great	household	household
greater	household	household
greatest	unitary	unitary
wilder	noodles	edison
wild	bout	dixon
wildest	!	!
wild	difficult	difficult
wilder	difficult	difficult
wildest	!	!
smoother	concave	concave
smooth	!	!
smoothest	!	!
smooth	difficult	difficult
smoother	difficult	difficult
smoothest	!	!
mightier	spells	edison
mighty	!	!
mightiest	!	!
mighty	difficult	difficult
mightier	difficult	difficult
mightiest	!	!
leaner	edison	edison
lean	!	!
leanest	!	!
lean	difficult	difficult
leaner	difficult	difficult
leanest	!	!
cleaner	cleanup	cleanup
clean	plumbing	plumbing
cleanest	!	!
clean	difficult	difficult
cleaner	difficult	difficult
cleanest	!	!
narrower	blackish	midpoint
narrow	easternmost	easternmost
narrowest	blackish	blackish
narrow	!	!
narrower	!	!
narrowest	easternmost	easternmost
colder	microphone	microphone
cold	!	!
coldest	quadratic	quadratic
cold	!	!
colder	!	!
coldest	!	!
noisier	quadratic	quadratic
noisy	!	!
noisiest	quadratic	quadratic
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	unmarked	unmarked
deep	easternmost	easternmost
deepest	sterile	sterile
deep	normative	normative
deeper	apologize	apologize
deepest	quechua	quechua
taller	inflorescence	inflorescence
tall	easternmost	easternmost
tallest	ferns	ferns
tall	height	summer
taller	tower	tower
tallest	archipelago	archipelago
quicker	mistake	mistake
quick	stick	stick
quickest	earnhardt	earnhardt
quick	!	!
quicker	!	!
quickest	achieves	qualify
narrower	pilasters	pilasters
narrow	hairs	hairs
narrowest	busiest	busiest
narrow	!	!
narrower	!	!
narrowest	geometridae	deciduous
deeper	pilasters	pilasters
deep	broadly	positions
deepest	chapman	th
deep	man	man
deeper	lulu	gorge
deepest	clinch	uptown
closer	proximity	proximity
close	manifest	manifest
closest	miocene	signature
close	tend	tend
closer	cousin	exit
closest	co-operation	co-operation
taller	storeys	storeys
tall	tall	tall
tallest	miocene	storeys
tall	decorations	decorations
taller	peak	peak
tallest	deciduous	deciduous
kinder	reason	reason
kind	!	!
kindest	indira	indira
kind	!	!
kinder	!	!
kindest	!	!
heavier	muster	muster
heavy	1km	reinforcing
heaviest	57th	57th
heavy	heavy	redistribution
heavier	restraint	restraint
heaviest	number-one	number-one
mightier	curt	curt
mighty	!	!
mightiest	nxt	nxt
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	logic	logic
lean	!	!
leanest	guiding	199293
lean	!	!
leaner	!	!
leanest	!	!
smarter	logic	logic
smart	!	!
smartest	metacritic	metacritic
smart	!	!
smarter	!	!
smartest	!	!
milder	gastrointestinal	bedrooms
mild	!	!
mildest	averages	averages
mild	!	!
milder	!	!
mildest	!	!
weaker	battery	battery
weak	uv	uv
weakest	averages	averages
weak	!	!
weaker	!	!
weakest	64-bit	64-bit
friendlier	partisans	partisans
friendly	!	!
friendliest	second-half	tornadoes
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	antisemitism	antisemitism
lively	!	!
liveliest	impressive	impressive
lively	!	!
livelier	!	!
liveliest	!	!
younger	fared	mobilized
young	half-sister	half-sister
youngest	ap	ap
young	karlsruhe	karlsruhe
younger	fathered	observatory
youngest	half-sister	half-sister
clearer	misleading	misleading
clear	!	!
clearest	!	!
clear	hundred	hundred
clearer	than	than
clearest	!	!
friendlier	second-half	second-half
friendly	!	!
friendliest	!	!
friendly	hundred	hundred
friendlier	than	than
friendliest	!	!
cleaner	59.5	59.5
clean	fishery	fishery
cleanest	!	!
clean	hundred	hundred
cleaner	than	than
cleanest	!	!
stronger	decreases	decreases
strong	vibrations	vibrations
strongest	!	!
strong	two	two
stronger	elite	compete
strongest	!	!
freer	reduced	guarantees
free	!	!
freest	!	!
free	hundred	hundred
freer	than	than
freest	!	!
tougher	intriguing	substrate
tough	!	!
toughest	surfer	that
tough	!	!
tougher	!	!
toughest	!	!
funnier	consonants	consonants
funny	!	!
funniest	incredibly	incredibly
funny	!	!
funnier	!	!
funniest	!	!
nicer	lieutenant-general	lieutenant-general
nice	!	!
nicest	flourishing	flourishing
nice	!	!
nicer	!	!
nicest	!	!
greater	melville	sms
great	curt	curt
greatest	largest	largest
great	accomplishments	accomplishments
greater	bays	bays
greatest	livestock	livestock
bolder	118	substrate
bold	!	!
boldest	incredibly	conquered
bold	!	!
bolder	!	!
boldest	!	!
poorer	horrors	horrors
poor	willingness	willingness
poorest	partnership	partnership
poor	socialists	socialists
