rougher	stanton	stanton
rough	!	!
roughest	winning	eskimos
rough	!	!
rougher	!	!
roughest	!	!
meaner	measurements	measurements
mean	!	!
meanest	asl	asl
mean	!	!
meaner	!	!
meanest	!	!
heavier	heavier	heavier
heavy	loads	loads
heaviest	heavier	heavier
heavy	morale	rainforest
heavier	lighter	lighter
heaviest	axial	axial
mightier	stunned	stunned
mighty	!	!
mightiest	cinematography	cinematography
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	discrete	discrete
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
worse	rhineland-palatinate	rhineland-palatinate
bad	severe	retire
worst	punished	punished
bad	school	computers
worse	obesity	controls
worst	worst	worst
sadder	novi	192
sad	!	!
saddest	amor	amor
sad	!	!
sadder	!	!
saddest	!	!
wilder	domesticated	domesticated
wild	lowell	kane
wildest	weber	weber
wild	!	!
wilder	!	!
wildest	steele	steele
stricter	irrespective	irrespective
strict	!	!
strictest	ranking	ranking
strict	!	!
stricter	!	!
strictest	!	!
narrower	predetermined	thinner
narrow	projecting	slender
narrowest	resorts	fortresses
narrow	!	!
narrower	!	!
narrowest	suriname	suriname
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	accelerated	accelerated
early	genesis	genesis
earliest	century	indefinitely
early	excavations	excavations
earlier	furnaces	furnaces
earliest	genesis	genesis
fatter	nutrient	fats
fat	!	!
fattest	flavors	flavors
fat	!	!
fatter	!	!
fattest	!	!
fuller	gnu	gnu
full	simpson	simpson
fullest	whitaker	whitaker
full	!	!
fuller	!	!
fullest	homecoming	homecoming
costlier	oxidative	oxidative
costly	!	!
costliest	mastering	mastering
costly	!	!
costlier	!	!
costliest	!	!
tougher	anal	anal
tough	!	!
toughest	contentious	contentious
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	upper
gentle	!	!
gentlest	jams	jams
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	anal	anal
short	unsuitable	unsuitable
shortest	lineman	lineman
short	flash	flash
shorter	desired	lines
shortest	concertos	olympics
softer	anal	anal
soft	inexpensive	inexpensive
softest	glands	glands
soft	!	!
softer	!	!
softest	moist	displaying
older	upper	baba
old	5.5	5.5
oldest	clarendon	precinct
old	surviving	surviving
older	housed	housed
oldest	5.5	5.5
richer	jams	jams
rich	dangers	dangers
richest	sugarcane	sugarcane
rich	wealth	arrogant
richer	padua	padua
richest	second-largest	second-largest
weaker	=	=
weak	zombie	prefecture
weakest	turf	turf
weak	!	!
weaker	!	!
weakest	overthrown	overthrown
prettier	nigel	nigel
pretty	!	!
prettiest	shit	best-selling
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	temperature	temperature
cool	ventilation	soils
coolest	hottest	hottest
cool	!	!
cooler	!	!
coolest	second-largest	spruce
luckier	bang	bang
lucky	!	!
luckiest	richest	richest
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	ions	compatibility
light	stucco	stucco
lightest	kaiser	kaiser
light	!	!
lighter	!	!
lightest	sited	sited
shorter	kendrick	kendrick
short	tide	takeoff
shortest	kaiser	kaiser
short	obviously	obviously
shorter	westbound	healthy
shortest	innsbruck	innsbruck
fewer	vastly	vastly
few	budget	budget
fewest	kabul	accredited
few	!	!
fewer	!	!
fewest	lyce	lyce
sharper	vastly	danielle
sharp	!	!
sharpest	devonian	devonian
sharp	!	!
sharper	!	!
sharpest	!	!
taller	centimeters	anthropomorphic
tall	stucco	stucco
tallest	tallest	tallest
tall	bungalow	bungalow
taller	64	44
tallest	tallest	tallest
smoother	9.5	9.5
smooth	!	!
smoothest	rpm	rpm
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	mistaken	baden
nice	!	!
nicest	suspense	suspense
nice	!	!
nicer	!	!
nicest	!	!
broader	paths	paths
broad	morality	morality
broadest	tolerance	deficit
broad	!	!
broader	!	!
broadest	tailored	tailored
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	huge	huge
great	worldwide	worldwide
greatest	thrill	thrill
great	miraculous	miraculous
greater	contributed	contributed
greatest	reduction	reduction
wilder	parasite	parasite
wild	sherlock	sherlock
wildest	!	!
wild	amusing	amusing
wilder	optimized	optimized
wildest	!	!
smoother	uniformly	uniformly
smooth	!	!
smoothest	!	!
smooth	amusing	amusing
smoother	optimized	optimized
smoothest	!	!
mightier	mayhem	mayhem
mighty	!	!
mightiest	!	!
mighty	amusing	amusing
mightier	optimized	optimized
mightiest	!	!
leaner	tool	better
lean	!	!
leanest	!	!
lean	amusing	amusing
leaner	optimized	optimized
leanest	!	!
cleaner	processing	processing
clean	sherlock	sherlock
cleanest	!	!
clean	amusing	amusing
cleaner	optimized	optimized
cleanest	!	!
narrower	forewing	forewing
narrow	recess	recess
narrowest	angled	angled
narrow	!	!
narrower	!	!
narrowest	curved	quadrant
colder	transforms	desperate
cold	!	!
coldest	semi-arid	semi-arid
cold	!	!
colder	!	!
coldest	!	!
noisier	inverted	inverted
noisy	!	!
noisiest	inverted	inverted
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	angled	angled
deep	embryonic	embryonic
deepest	angled	angled
deep	gliding	gliding
deeper	rude	rude
deepest	envy	envy
taller	taller	taller
tall	height	height
tallest	evergreen	evergreen
tall	height	ramp
taller	portico	portico
tallest	cultivated	beak
quicker	8.3	8.3
quick	ourselves	ourselves
quickest	1710	highest
quick	!	!
quicker	!	!
quickest	rikknen	uptown
narrower	forewings	forewings
narrow	cross-section	adequately
narrowest	baronetage	forewings
narrow	!	!
narrower	!	!
narrowest	cameroon	cameroon
deeper	horizontally	horizontally
deep	empower	empower
deepest	forewings	bare
deep	dedication	dedication
deeper	austen	austen
deepest	sub	uptown
closer	closest	closest
close	perceive	perceive
closest	closest	closest
close	viewing	viewing
closer	pliny	pliny
closest	exited	exited
taller	tallest	tallest
tall	hairs	hairs
tallest	tallest	tallest
tall	patch	patch
taller	embankment	embankment
tallest	coco	coco
kinder	absolutely	absolutely
kind	!	!
kindest	happens	happens
kind	!	!
kinder	!	!
kindest	!	!
heavier	automated	automated
heavy	rig	rig
heaviest	inflicted	inflicted
heavy	1km	1km
heavier	decrease	decrease
heaviest	intercontinental	hydro
mightier	joker	joker
mighty	!	!
mightiest	crow	comets
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	abby	abby
lean	!	!
leanest	crow	normalized
lean	!	!
leaner	!	!
leanest	!	!
smarter	automated	automated
smart	!	!
smartest	admissions	admissions
smart	!	!
smarter	!	!
smartest	!	!
milder	prostate	prostate
mild	!	!
mildest	tornadoes	tornadoes
mild	!	!
milder	!	!
mildest	!	!
weaker	strategy	strategy
weak	morphology	morphology
weakest	best	best
weak	!	!
weaker	!	!
weakest	ethiopian	ethiopian
friendlier	discontent	discontent
friendly	!	!
friendliest	eskimos	eskimos
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	outrageous	outrageous
lively	!	!
liveliest	burnt	burnt
lively	!	!
livelier	!	!
liveliest	!	!
younger	middle-aged	middle-aged
young	oblique	oblique
youngest	ira	ira
young	jena	organist
younger	persuasion	organist
