rougher	juveniles	accordingly
rough	!	!
roughest	nickelodeon	nickelodeon
rough	!	!
rougher	!	!
roughest	!	!
meaner	significantly	significantly
mean	!	!
meanest	filmfare	filmfare
mean	!	!
meaner	!	!
meanest	!	!
heavier	punjabi	punjabi
heavy	rude	rude
heaviest	punjabi	punjabi
heavy	tonnage	tonnage
heavier	shear	shear
heaviest	filmfare	filmfare
mightier	trojan	trojan
mighty	!	!
mightiest	nickelodeon	nickelodeon
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	dissatisfaction	dissatisfaction
noisy	!	!
noisiest	loud	mixer
noisy	!	!
noisier	!	!
noisiest	!	!
worse	rhineland-palatinate	rhineland-palatinate
bad	forgive	defences
worst	resorts	resorts
bad	damn	damn
worse	deforestation	deforestation
worst	breakaway	breakaway
sadder	cute	wrong
sad	!	!
saddest	amor	amor
sad	!	!
sadder	!	!
saddest	!	!
wilder	domesticated	domesticated
wild	tate	tate
wildest	domesticated	domesticated
wild	!	!
wilder	!	!
wildest	co-starred	elliott
stricter	anal	anal
strict	!	!
strictest	whatsoever	seine
strict	!	!
stricter	!	!
strictest	!	!
narrower	distal	distal
narrow	doric	elegant
narrowest	crossings	crossings
narrow	!	!
narrower	!	!
narrowest	detailing	detailing
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	preschool	preschool
early	yarmouth	yarmouth
earliest	digest	digest
early	quaker	quaker
earlier	integrated	integrated
earliest	genesis	genesis
fatter	toxins	toxins
fat	!	!
fattest	digest	digest
fat	!	!
fatter	!	!
fattest	!	!
fuller	differing	degrees
full	muller	muller
fullest	digest	digest
full	!	!
fuller	!	!
fullest	ambrose	ambrose
costlier	lowering	increase
costly	!	!
costliest	lowering	lowering
costly	!	!
costlier	!	!
costliest	!	!
tougher	199192	199192
tough	!	!
toughest	under-18	waltz
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	upper
gentle	!	!
gentlest	looks	dharma
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	anal	anal
short	acetate	acetate
shortest	mcbride	mcbride
short	connecting	connecting
shorter	forth	forth
shortest	mode	mode
softer	spines	spines
soft	saturated	saturated
softest	mcbride	mcbride
soft	!	!
softer	!	!
softest	saturated	geometric
older	parishioners	parishioners
old	6.9	loneliness
oldest	betting	betting
old	drug	drug
older	housed	housed
oldest	6.9	6.9
richer	boundaries	boundaries
rich	haley	haley
richest	turf	turf
rich	fancy	fancy
richer	hellenistic	hellenistic
richest	woreda	bats
weaker	posterior	substance
weak	well-defined	despair
weakest	anywhere	anywhere
weak	!	!
weaker	!	!
weakest	setback	setback
prettier	olympiacos	olympiacos
pretty	!	!
prettiest	ton	ton
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	monterey	monterey
cool	warm	warm
coolest	best-selling	best-selling
cool	!	!
cooler	!	!
coolest	subtropical	subtropical
luckier	olympiacos	olympiacos
lucky	!	!
luckiest	fictionalized	fictionalized
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	explosions	explosions
light	steamer	steamer
lightest	lit	lit
light	!	!
lighter	!	!
lightest	housed	housed
shorter	spielberg	spielberg
short	shortest	shortest
shortest	slender	slender
short	elizabethan	controller
shorter	44	44
