rougher	terrain	terrain
rough	!	!
roughest	awards	award
rough	!	!
rougher	!	!
roughest	nominated	nominated
meaner	doesn	doesn
mean	!	!
meanest	awards	awards
mean	!	!
meaner	!	!
meanest	nominated	nominated
heavier	heavier	heavier
heavy	heaviest	heaviest
heaviest	awards	awards
heavy	weighing	weighs
heavier	heavier	heavier
heaviest	nominated	nominated
mightier	blackhawks	blackhawks
mighty	!	!
mightiest	nominated	bafta
mighty	!	!
mightier	!	!
mightiest	nominated	nominated
noisier	safer	blending
noisy	!	!
noisiest	nominated	nominated
noisy	!	!
noisier	!	!
noisiest	nominated	nominated
worse	worse	worse
bad	school	school
worst	awarded	awarded
bad	school	school
worse	catastrophic	vocational
worst	top	success
sadder	novi	novi
sad	!	!
saddest	novi	novi
sad	!	!
sadder	!	!
saddest	!	!
wilder	animals	animals
wild	school	montgomery
wildest	animals	animals
wild	!	!
wilder	!	!
wildest	gallantry	courageous
stricter	standards	standards
strict	!	!
strictest	regulations	regulations
strict	!	!
stricter	!	!
strictest	!	!
narrower	broad	slightly
narrow	school	width
narrowest	broad	margins
narrow	!	!
narrower	!	!
narrowest	width	width
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	mid
early	once	once
earliest	late	late
early	dated	dated
earlier	within	within
earliest	early	early
fatter	opole	opole
fat	!	!
fattest	dietary	dietary
fat	!	!
fatter	!	!
fattest	!	!
fuller	within	within
full	reed	reed
fullest	one	one
full	!	!
fuller	!	!
fullest	finest	finest
costlier	east-central	east-central
costly	!	!
costliest	expensive	proved
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	!	!
toughest	notoriously	notoriously
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	upper
gentle	!	!
gentlest	loving	loving
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	longer	longer
shortest	fiction	fiction
short	shorter	shorter
shorter	upper	upper
shortest	exam	exam
softer	upper	upper
soft	lighter	stronger
softest	shiny	shiny
soft	!	!
softer	!	!
softest	assigns	assigns
older	upper	upper
old	65	18
oldest	norse	norse
old	dating	dating
older	upper	upper
oldest	65	65
richer	luxurious	luxurious
rich	wealth	wealth
richest	richest	richest
rich	wealth	wealth
richer	than	softer
richest	richest	richest
weaker	weaker	weaker
weak	weak	weak
weakest	populous	weaker
weak	!	!
weaker	!	!
weakest	second-largest	second-largest
prettier	clever	clever
pretty	!	!
prettiest	thing	thing
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	summers	cooler
cool	warm	warm
coolest	summers	summers
cool	!	!
cooler	!	!
coolest	humid	humid
luckier	loser	farther
lucky	!	!
luckiest	populous	luciano
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	65	65
light	darker	2.3
lightest	uv	uv
light	!	!
lighter	!	!
lightest	heavier	2.3
shorter	65	65
short	longer	longer
shortest	fiction	screenplay
short	distance	long
shorter	65	65
shortest	longer	longer
fewer	65	45
few	than	2.3
fewest	surviving	one
few	!	!
fewer	!	!
fewest	than	2.3
sharper	65	65
sharp	!	!
sharpest	knife	knife
sharp	!	!
sharper	!	!
sharpest	!	!
taller	65	65
tall	tall	2.5
tallest	erect	erect
tall	tower	tower
taller	65	65
tallest	tallest	tallest
smoother	slightly	slightly
smooth	!	!
smoothest	convex	convex
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	marseille	marseille
nice	!	!
nicest	marseille	marseille
nice	!	!
nicer	!	!
nicest	!	!
broader	slightly	slightly
broad	broad	broad
broadest	wingspan	wingspan
broad	!	!
broader	!	!
broadest	encompasses	encompasses
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	much	much
great	within	within
