rougher	stanton	stanton
rough	!	!
roughest	eskimos	eskimos
rough	!	!
rougher	!	!
roughest	!	!
meaner	measurements	measurements
mean	!	!
meanest	miracle	asl
mean	!	!
meaner	!	!
meanest	!	!
heavier	heavier	heavier
heavy	loads	loads
heaviest	heavier	heavier
heavy	morale	shear
heavier	lighter	lighter
heaviest	axial	axial
mightier	stunned	stunned
mighty	!	!
mightiest	cinematography	cinematography
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	discrete	discrete
noisy	!	!
noisiest	loud	loud
noisy	!	!
noisier	!	!
noisiest	!	!
worse	rhineland-palatinate	rhineland-palatinate
bad	severe	severe
worst	nasty	nasty
bad	school	computers
worse	controls	controls
worst	worst	worst
sadder	novi	novi
sad	!	!
saddest	amor	amor
sad	!	!
sadder	!	!
saddest	!	!
wilder	domesticated	domesticated
wild	recruited	recruited
wildest	weber	weber
wild	!	!
wilder	!	!
wildest	steele	steele
stricter	irrespective	irrespective
strict	!	!
strictest	ranking	ranking
strict	!	!
stricter	!	!
strictest	!	!
narrower	thinner	thinner
narrow	slender	slender
narrowest	resorts	resorts
narrow	!	!
narrower	!	!
narrowest	suriname	suriname
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	accelerated	accelerated
early	older	genesis
earliest	late	late
early	excavations	excavations
earlier	furnaces	furnaces
earliest	genesis	genesis
fatter	nutrient	fats
fat	!	!
fattest	nasty	flavors
fat	!	!
fatter	!	!
fattest	!	!
fuller	compatible	compatible
full	simpson	simpson
fullest	whitaker	triple
full	!	!
fuller	!	!
fullest	homecoming	homecoming
costlier	oxidative	oxidative
costly	!	!
costliest	mastering	mastering
costly	!	!
costlier	!	!
costliest	!	!
tougher	anal	anal
tough	!	!
toughest	loser	contentious
tough	!	!
tougher	!	!
toughest	!	!
gentler	upper	reddish
gentle	!	!
gentlest	jams	jams
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	anal	anal
short	unsuitable	unsuitable
shortest	67	67
short	excursions	flash
shorter	desired	championed
shortest	concertos	counselor
softer	anal	anal
soft	inexpensive	inexpensive
softest	manipulation	glands
soft	!	!
softer	!	!
softest	displaying	displaying
older	upper	baba
old	5.5	5.5
oldest	clarendon	clarendon
old	surviving	surviving
older	housed	housed
oldest	5.5	5.5
richer	jams	jams
rich	dangers	dangers
richest	sugarcane	sugarcane
rich	arrogant	arrogant
richer	padua	padua
richest	second-largest	second-largest
weaker	=	=
weak	positively	positively
weakest	turf	turf
weak	!	!
weaker	!	!
weakest	overthrown	overthrown
prettier	nigel	nigel
pretty	!	!
prettiest	shit	shit
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	temperature	temperature
cool	ventilation	soils
coolest	hottest	reggae
cool	!	!
cooler	!	!
coolest	second-largest	spruce
luckier	marijuana	dre
lucky	!	!
luckiest	richest	richest
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	ions	compatibility
light	stucco	stucco
lightest	kaiser	kaiser
light	!	!
lighter	!	!
lightest	innsbruck	innsbruck
shorter	kendrick	kendrick
short	spur	spur
shortest	slender	kaiser
short	obviously	obviously
shorter	westbound	westbound
