rougher	surface	surface
rough	!align="left	ballots
roughest	awards	awards
rough	!align="left	valid
rougher	!align="left	valid
roughest	!align="left	!align="right
meaner	can	variables
mean	!align="left	ballots
meanest	awards	category
mean	!align="left	valid
meaner	!align="left	valid
meanest	!align="left	!align="right
heavier	tanks	tanks
heavy	lighter	heavy
heaviest	awards	infantry
heavy	heavy	heavy
heavier	heavier	heavier
heaviest	awards	produced
mightier	the	the
mighty	!align="left	ballots
mightiest	awards	awards
mighty	!align="left	valid
mightier	!align="left	valid
mightiest	!align="left	!align="right
noisier	easier	noise
noisy	!align="left	ballots
noisiest	awards	music
noisy	!align="left	valid
noisier	!align="left	valid
noisiest	!align="left	!align="right
worse	good	things
bad	school	he
worst	you	ever
bad	school	school
worse	can	be
worst	scoring	worst
sadder	how	how
sad	!align="left	!align="right
saddest	my	my
sad	!align="left	!align="right
sadder	!align="left	!align="right
saddest	!align="left	!align="right
wilder	animals	animals
wild	school	john
wildest	animals	species
wild	!align="left	!align="right
wilder	!align="left	!align="right
wildest	all-time	johnson
stricter	laws	regulations
strict	school	laws
strictest	laws	laws
strict	!align="left	!align="right
stricter	!align="left	!align="right
strictest	all-time	laws
narrower	dorsal	basal
narrow	school	narrow
narrowest	dorsal	margin
narrow	school	narrow
narrower	increases	width
narrowest	narrow	narrow
classier	!align="left	!align="right
classy	!align="left	!align="right
classiest	!align="left	!align="right
classy	!align="left	!align="right
classier	!align="left	!align="right
classiest	!align="left	!align="right
earlier	late	development
early	his	his
earliest	late	late
early	ancient	ancient
earlier	of	of
earliest	songs	songs
fatter	increases	metabolism
fat	!align="left	!align="right
fattest	album	album
fat	!align="left	!align="right
fatter	!align="left	!align="right
fattest	!align="left	!align="right
fuller	higher	minimum
full	his	john
fullest	best	released
full	to	to
fuller	increase	enhance
fullest	album	song
costlier	increase	costs
costly	!align="left	!align="right
costliest	expensive	expensive
costly	!align="left	!align="right
costlier	!align="left	!align="right
costliest	!align="left	!align="right
tougher	upper	the
tough	increase	tough
toughest	win	playoff
tough	due	dangerous
tougher	upper	the
toughest	ranking	team's
gentler	upper	upper
gentle	!align="left	!align="right
gentlest	highest	the
gentle	!align="left	valid
gentler	!align="left	!align="right
gentlest	!align="left	!align="right
shorter	upper	upper
short	temperature	longer
shortest	first	won
short	can	can
shorter	upper	length
shortest	length	each
softer	upper	upper
soft	soft	soft
softest	highest	top
soft	!align="left	valid
softer	!align="left	!align="right
softest	album's	album's
older	upper	upper
old	65	poverty
oldest	the	in
old	built	built
older	upper	built
oldest	65	non-families
richer	more	more
rich	rich	rich
richest	richest	richest
rich	are	rich
richer	can	rich
richest	biggest	richest
weaker	can	stronger
weak	weak	weak
weakest	biggest	strongest
weak	are	that
weaker	can	that
weakest	second-largest	economy
prettier	really	really
pretty	!align="left	!align="right
prettiest	it's	it's
pretty	!align="left	!align="right
prettier	!align="left	!align="right
prettiest	!align="left	!align="left
cooler	warm	warm
cool	temperatures	humid
coolest	biggest	biggest
cool	temperatures	temperatures
cooler	temperature	temperatures
coolest	rainfall	rainfall
luckier	you	you
lucky	!align="left	!align="right
luckiest	biggest	biggest
lucky	!align="left	!align="right
luckier	!align="left	!align="right
luckiest	!align="left	!align="left
lighter	65	size
light	heavier	dark
lightest	laser	laser
light	weight	weight
lighter	non-families	17.4
lightest	heavier	wooden
shorter	65	below
short	long	long
shortest	in	longest
short	if	if
shorter	65	6.7
shortest	long	longest
fewer	65	were
few	than	around
fewest	many	in
few	interceptions	yards
fewer	65	non-families
fewest	in	largest
sharper	65	someone
sharp	road	sharp
sharpest	smooth	tip
sharp	!align="left	!align="right
sharper	!align="left	ballots
sharpest	in	the
taller	65	centimeters
tall	tall	roof
tallest	height	height
tall	skyscraper	feet
taller	65	households
tallest	tallest	tallest
smoother	convex	convex
smooth	is	soft
smoothest	convex	formula_4
smooth	!align="left	!align="right
smoother	!align="left	!align="right
smoothest	finite	finite
nicer	it's	it's
nice	!align="left	valid
nicest	you're	perfect
nice	!align="left	!align="right
nicer	!align="left	!align="right
nicest	!align="left	!align="right
broader	narrow	narrow
broad	broad	broad
broadest	defined	defined
broad	large	tornus
broader	broad	tornus
broadest	social	fundamental
savvier	faster	sophisticated
savvy	!align="left	valid
savviest	graph	suppose
savvy	!align="left	!align="right
savvier	!align="left	!align="right
savviest	!align="left	!align="right
greater	the	the
great	is	is
greatest	of	of
great	large	great
greater	their	numerous
greatest	of	of
wilder	animals	animals
wild	album	starring
wildest	deer	deer
wild	!align="left	!align="right
wilder	!align="left	!align="right
wildest	allen	clark
smoother	rounded	surfaces
smooth	sound	sound
smoothest	yellowish	glabrous
smooth	!align="left	!align="right
smoother	!align="left	!align="right
smoothest	pigments	pigments
mightier	the	the
mighty	!align="left	!align="right
mightiest	avengers	the
mighty	!align="left	!align="right
mightier	!align="left	!align="right
mightiest	!align="left	!align="right
leaner	efficiency	efficiency
lean	!align="left	!align="right
leanest	biomass	the
lean	!align="left	!align="right
leaner	!align="left	!align="right
leanest	!align="left	!align="right
cleaner	water	water
clean	it's	clean
cleanest	water	renewable
clean	!align="left	!align="right
cleaner	!align="left	!align="right
cleanest	vacuum	vacuum
narrower	curved	curved
narrow	narrow	narrow
narrowest	curved	width
narrow	late	the
narrower	width	width
narrowest	narrow	narrow
colder	warm	temperature
cold	climates	climates
coldest	warm	warm
