iraq	"the	"the
thailand	"the	"the
china	"the	"the
germany	"the	"the
switzerland	"the	"the
egypt	"the	"the
australia	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
thailand	"the	"the
china	"the	"the
germany	"the	"the
switzerland	"the	"the
egypt	"the	"the
australia	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
greece	"the	"the
china	"the	"the
germany	"the	"the
switzerland	"the	"the
egypt	"the	"the
australia	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
greece	"the	"the
iraq	"the	"the
germany	"the	"the
switzerland	"the	"the
egypt	"the	"the
australia	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
greece	"the	"the
iraq	"the	"the
thailand	"the	"the
switzerland	"the	"the
egypt	"the	"the
australia	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
greece	"the	"the
iraq	"the	"the
thailand	"the	"the
china	"the	"the
egypt	"the	"the
australia	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
greece	"the	"the
iraq	"the	"the
thailand	"the	"the
china	"the	"the
germany	"the	"the
australia	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
greece	"the	"the
iraq	"the	"the
thailand	"the	"the
china	"the	"the
germany	"the	"the
switzerland	"the	"the
vietnam	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
afghanistan	"the	"the
england	"the	"the
spain	"the	"the
russia	"the	"the
norway	"the	"the
canada	"the	"the
france	"the	"the
italy	"the	"the
sweden	"the	"the
iran	"the	"the
japan	"the	"the
greece	"the	"the
iraq	"the	"the
thailand	"the	"the
china	"the	"the
germany	"the	"the
switzerland	"the	"the
egypt	"the	"the
cuba	"the	"the
finland	"the	"the
pakistan	"the	"the
