size\model,PPMI,SGNSpinit-highest,SGNSpinit-highest-rev,SGNSpinit-lowest,SGNSpinit-lowest-rev,SGNSpinit-middle,SGNSpinit-middle-rev,SGNSsvd,SGNSsvd-rev,SVD
0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,-0.0328082083718,-0.0310421745854,-0.0279476622613,-0.0415096144659,-0.0279961047084,-0.0513530907143,-0.0279483790721,-0.0346112639574,-0.0326985765957,0.00284062976527
15,-0.0478470184951,-0.0367657421715,-0.0299824081896,-0.0394811871953,-0.036250634192,-0.0311909383435,-0.0327914884616,-0.00539490997222,-0.0311878963961,0.0239513155157
100,-0.0158642563065,0.0184827491949,0.031216881848,0.0189140840385,0.0176767407519,0.0160906014345,0.0276824312201,-0.00281236446028,-0.00437807038189,0.11676374479
136,-0.00985820350475,0.0211620139404,0.0362402189767,0.0186080309254,0.0339873459779,0.0175184303183,0.03581996835,0.0330241930591,0.0486999512211,0.133179772859
200,0.00518756793502,0.0478251144734,0.0378866453669,0.0416155874398,0.0333722342154,0.036045424799,0.0397004815701,0.0427113090972,0.0357291933712,0.146016512584
300,0.0177740431502,0.0619064816731,0.0583886500663,0.0660240997876,0.0501837082271,0.0670297071103,0.058381183707,0.0561849638062,0.0578482396596,0.164721570656
400,0.0472589556517,0.0932273566675,0.091777598944,0.0910014510429,0.0744053621765,0.0938295640349,0.0884480880805,0.100109819476,0.0958814970424,0.175279821056
500,0.0638598975,0.0962765962329,0.0982446969807,0.0982948097775,0.0972933676954,0.0986312107533,0.097964862711,0.101323297798,0.101665995758,0.20971569267
750,0.181609017993,0.228063933857,0.233565318463,0.22708524445,0.231807276369,0.229505596036,0.231827164891,0.228686333701,0.22771003165,0.274816045466
1850,0.181609017993,0.228063933857,0.233565318463,0.22708524445,0.231807276369,0.229505596036,0.231827164891,0.228686333701,0.22771003165,0.274816045466
50,-0.0520840303724,-0.0216677373342,-6.29172641286e-05,-0.021951646728,-0.00260202424109,-0.0265480181802,0.0018093627966,-0.00303164185154,-0.00251436238719,0.103407451782
