rougher	craft	begun
rough	!	!
roughest	cross,	cross,
rough	!	!
rougher	!	!
roughest	!	!
meaner	binary	binary
mean	!	!
meanest	binary	binary
mean	!	!
meaner	!	!
meanest	!	!
heavier	soldiers	soldiers
heavy	normally	normally
heaviest	anti-aircraft	soldiers
heavy	!	!
heavier	!	!
heaviest	pace	pace
mightier	fountain	fountain
mighty	!	!
mightiest	vic	vic
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	indication	indication
bad	pierce	carroll
worst	detained	detained
bad	feared	feared
worse	smoking	smoking
worst	forest.	forest.
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	rat	rat
wild	!	!
wildest	trophy.	trophy.
wild	!	!
wilder	!	!
wildest	!	!
stricter	indication	indication
strict	!	!
strictest	detained	detained
strict	!	!
stricter	!	!
strictest	!	!
narrower	frames	frames
narrow	!	!
narrowest	mountainous	mountainous
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	1960s,	1960s,
early	1878	1878
earliest	lone	lone
early	descendant	descendant
earlier	1960s,	1960s,
earliest	"first	"first
fatter	hypothesis	reduction
fat	!	!
fattest	excited	excited
fat	!	!
fatter	!	!
fattest	!	!
fuller	container	container
full	!	!
fullest	roy	roy
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	teacher,	teacher,
tough	!	!
toughest	broncos	broncos
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	occupying	occupying
short	equation	equation
shortest	score	score
short	!	!
shorter	!	!
shortest	weather	weather
softer	background.	companies
soft	!	!
softest	loud	loud
soft	!	!
softer	!	!
softest	!	!
older	knowledge	knowledge
old	marcus	marcus
oldest	18th	18th
old	marble	marble
older	originally,	originally,
oldest	entries	entries
richer	moist	silicon
rich	!	!
richest	moist	moist
rich	!	!
richer	!	!
richest	!	!
weaker	loses	loses
weak	!	!
weakest	presidency	powers.
weak	!	!
weaker	!	!
weakest	!	!
prettier	parameters	parameters
pretty	!	!
prettiest	strong,	strong,
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	moist	moist
cool	!	!
coolest	concentrated	concentrated
cool	!	!
cooler	!	!
