rougher	shorter	shorter
rough	!	!
roughest	cross,	cross,
rough	!	!
rougher	!	!
roughest	!	!
meaner	binary	binary
mean	!	!
meanest	binary	binary
mean	!	!
meaner	!	!
meanest	!	!
heavier	reconnaissance	reconnaissance
heavy	lacking	lacking
heaviest	anti-aircraft	anti-aircraft
heavy	!	!
heavier	!	!
heaviest	pace	pace
mightier	truly	truly
mighty	!	!
mightiest	vic	vic
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	mind,	mind,
bad	carroll	carroll
worst	detained	detained
bad	feared	feared
worse	smoking	smoking
worst	killed.	killed.
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	intensive	intensive
wild	!	!
wildest	trophy.	trophy.
wild	!	!
wilder	!	!
wildest	!	!
stricter	indication	indication
strict	!	!
strictest	detained	detained
strict	!	!
stricter	!	!
strictest	!	!
narrower	found.	found.
narrow	!	!
narrowest	mountainous	mountainous
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	1960s,	1960s,
early	1878	1878
earliest	lone	lone
early	descendant	forms,
earlier	1960s,	1960s,
earliest	"first	"first
fatter	mammals	hypothesis
fat	!	!
fattest	eat	eat
fat	!	!
fatter	!	!
fattest	!	!
fuller	generate	generate
full	!	!
fullest	rey	rey
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	foot	confluence
tough	!	!
toughest	2010.	2010.
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	occupying	occupying
short	l	l
shortest	score	score
short	!	!
shorter	!	!
shortest	brands	brands
softer	ceiling	ceiling
soft	!	!
softest	loud	loud
soft	!	!
softer	!	!
softest	!	!
older	knowledge	knowledge
old	bloody	bloody
oldest	18th	18th
old	marble	marble
older	originally,	originally,
oldest	catherine	catherine
richer	silicon	silicon
rich	!	!
richest	moist	moist
rich	!	!
richer	!	!
richest	!	!
weaker	typically	loses
weak	!	!
weakest	ratings	ratings
weak	!	!
weaker	!	!
weakest	!	!
prettier	you're	idea
pretty	!	!
prettiest	strong,	strong,
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	moist	moist
cool	!	!
coolest	concentrated	concentrated
