rougher	shorter	shorter
rough	!	!
roughest	cross,	cross,
rough	!	!
rougher	!	!
roughest	!	!
meaner	surname	surname
mean	!	!
meanest	binary	binary
mean	!	!
meaner	!	!
meanest	!	!
heavier	reconnaissance	soldiers
heavy	lacking	lacking
heaviest	anti-aircraft	anti-aircraft
heavy	!	!
heavier	!	!
heaviest	pace	pace
mightier	fans	fans
mighty	!	!
mightiest	vic	vic
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	indication	indication
bad	carroll	carroll
worst	norway.	detained
bad	bailey	bailey
worse	smoking	smoking
worst	disaster	corner
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	intensive	intensive
wild	!	!
wildest	trophy.	trophy.
wild	!	!
wilder	!	!
wildest	!	!
stricter	indication	indication
strict	!	!
strictest	compact	compact
strict	!	!
stricter	!	!
strictest	!	!
narrower	frames	frames
narrow	!	!
narrowest	terrain	strong,
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	1960s,	1960s,
early	1878	1878
earliest	lone	lone
early	somerset	somerset
earlier	1960s,	1960s,
earliest	"first	"first
fatter	mammals	mammals
fat	!	!
fattest	accidentally	accidentally
fat	!	!
fatter	!	!
fattest	!	!
fuller	container	container
full	!	!
fullest	rey	rey
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	confluence	confluence
tough	!	!
toughest	bundesliga	bundesliga
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	bays	occupying
short	l	l
shortest	score	kirk
short	!	!
shorter	!	!
shortest	"m"	"m"
softer	(originally	(originally
soft	!	!
softest	respectively	respectively
soft	!	!
softer	!	!
softest	!	!
older	brook	knowledge
old	marcus	marcus
oldest	18th	18th
old	marble	marble
older	78	mother,
oldest	rotation	pioneers
richer	moist	silicon
rich	!	!
richest	moist	moist
rich	!	!
richer	!	!
richest	!	!
weaker	activation	activation
weak	!	!
weakest	sounds	sounds
weak	!	!
weaker	!	!
weakest	!	!
prettier	parameters	parameters
pretty	!	!
prettiest	strong,	strong,
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	moist	moist
cool	!	!
coolest	moist	moist
