rougher	smoother	smoother
rough	!	!
roughest	nominations	nominations
rough	!	!
rougher	!	?
roughest	awards	awards
meaner	temperature	temperature
mean	!	!
meanest	awards	bafta
mean	!	!
meaner	!	?
meanest	awards	awards
heavier	heavier	heavier
heavy	heaviest	heaviest
heaviest	nominated	oscars
heavy	lightest	lightest
heavier	heavier	heavier
heaviest	nominations	nominations
mightier	easier	easier
mighty	!	!
mightiest	nominated	oscars
mighty	!	!
mightier	!	?
mightiest	awards	awards
noisier	quieter	quieter
noisy	!	!
noisiest	awards	oscars
noisy	!	!
noisier	!	?
noisiest	awards	awards
worse	things	things
bad	school	school
worst	second-highest	awarded
bad	school	preparatory
worse	worse	worse
worst	second-highest	worst
sadder	depressing	depressing
sad	!	!
saddest	second-highest	second-highest
sad	!	!
sadder	!	!
saddest	!	!
wilder	boars	boars
wild	school	elementary
wildest	second-highest	ibex
wild	!	!
wilder	!	!
wildest	second-highest	hitchcock
stricter	stricter	standards
strict	stringent	stringent
strictest	stringent	stringent
strict	!	!
stricter	!	!
strictest	stringent	stringent
narrower	narrower	narrower
narrow	school	narrow
narrowest	second-highest	second-highest
narrow	school	boys
narrower	narrow	narrower
narrowest	narrow	conspicuous
classier	voivodeship	huta
classy	!	!
classiest	stylish	stylish
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	last	last
earliest	late	late
early	dating	dating
earlier	settlements	settlements
earliest	notable	notable
fatter	calories	calories
fat	!	!
fattest	fats	fats
fat	!	!
fatter	!	!
fattest	!	!
fuller	within	within
full	phillips	phillips
fullest	list	list
full	spontaneity	spontaneity
fuller	voivodeship	vitality
fullest	rogers	rogers
costlier	expensive	expensive
costly	!	!
costliest	expensive	deemed
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	upper
tough	harder	stronger
toughest	brash	brash
tough	tough	tough
tougher	upper	upper
toughest	harder	hardest
gentler	upper	upper
gentle	!	!
gentlest	cheerful	cheerful
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	longer	longer
shortest	longest	longest
short	endpoints	endpoints
shorter	upper	upper
shortest	longer	longer
softer	upper	upper
soft	harder	texture
softest	texture	texture
soft	!	!
softer	!	!
softest	harder	texture
older	upper	upper
old	individuals	individuals
oldest	derives	nine
old	earliest	earliest
older	upper	upper
oldest	65	65
richer	richer	richer
rich	rich	rich
richest	richest	richest
rich	wealthy	wealthy
richer	smaller	bigger
richest	richest	richest
weaker	weaker	weaker
weak	weak	weak
weakest	weakened	weakening
weak	small	identical
weaker	smaller	stronger
weakest	second-largest	second-largest
prettier	stuff	stuff
pretty	!	!
prettiest	thing	thing
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	cooler	cooler
cool	warm	warm
coolest	warm	warm
cool	warmest	temperatures
cooler	hotter	hotter
coolest	warm	warm
luckier	gonna	gonna
lucky	!	!
luckiest	gonna	gonna
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	65	65
light	heavier	heavier
lightest	ultraviolet	ultraviolet
light	heavier	heavier
lighter	65	2064
lightest	heavier	heavier
shorter	65	65
short	longer	longer
shortest	feature	feature-length
short	placename	toponym
shorter	65	45
shortest	longer	longer
fewer	45	45
