episode,	episode,	vulnerable	vulnerable
!	!	!	!
"top	"top	hits	hits
!	!	!	!
!	!	!	!
!	!	!	!
unusual	unusual	vulnerable	vulnerable
!	!	!	!
tournaments	oriented	"note:	poll
!	!	!	!
!	!	!	!
!	!	!	!
defenders	peninsula	vulnerable	vulnerable
mate	mate	calcium	diet
aluminium	aluminium	uprising	uprising
!	!	!	!
!	!	!	!
wing.	wing.	category.	category.
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
marco	marco	"some	"some
neutral	hamilton	fault	fault
there's	remembered	cricketer	cricketer
history.	history.	drink	drink
suicide	suicide	brain	prompted
say,	say,	park	park
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
mortality	patterns	patterns	patterns
!	!	!	!
56	remembered	remembered	remembered
!	!	!	!
!	!	!	!
!	!	!	!
clause	patterns	patterns	patterns
!	!	!	!
regulation	regulation	regulation	regulation
!	!	!	!
!	!	!	!
!	!	!	!
forewings	forewings	forewings	type,
!	!	!	!
lies	lies	dividing	dividing
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
neighbourhood	neighbourhood	specifically	specifically
man"	man"	duke	duke
interviewed	interviewed	objectives	objectives
bore	bore	extant	fictional
children’s	children’s	regiment	regiment
"high	"high	ii"	ii"
humans,	humans,	spectrum	so,
!	!	!	!
acid	acid	"daily	"daily
!	!	!	!
!	!	!	!
!	!	!	!
finest	finest	width	width
!	!	!	!
1934,	1934,	b-side	b-side
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
hindu	hindu	similarly,	similarly,
!	!	!	!
earning	earning	watched	volleyball
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
idaho	idaho	germany.	germany.
depend	depend	teeth	teeth
earning	earning	million.	million.
!	!	!	!
!	!	!	!
wingspan	upgrade	consistent	consistent
ball,	ball,	baltic	baltic
!	!	!	!
earning	earning	million.	million.
!	!	!	!
!	!	!	!
!	!	!	!
rows	occasions	evening,	evening,
depend	depend	terrestrial	terrestrial
stands	stands	jersey,	jersey,
feed	feed	19th-century	19th-century
laying	laying	mountain,	mountain,
males.	males.	language	language
staged	staged	program	program
!	!	!	!
pageant	pageant	pageant	pageant
!	!	!	!
!	!	!	!
!	!	!	!
resulting	jennifer	(but	(but
