juan	juan	hip-hop	episode,
!	!	!	!
hit	hit	"top	"top
!	!	!	!
!	!	!	!
!	!	!	!
vulnerable	vulnerable	unusual	unusual
!	!	!	!
singer-songwriter	(with	oriented	oriented
!	!	!	!
!	!	!	!
!	!	!	!
vulnerable	vulnerable	confederate	peninsula
calcium	calcium	mate	mate
machine	machine	aluminium	aluminium
!	!	!	!
!	!	!	!
category.	category.	simultaneously	simultaneously
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
gameplay	gameplay	marco	marco
adverse	adverse	hamilton	hamilton
wrote:	wrote:	affects	remembered
secondary	secondary	said.	said.
jon	jon	engine.	engine.
chennai	chennai	say,	withdraw
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
characteristics	characteristics	freshwater	freshwater
!	!	!	!
habitat	habitat	56	scorer
!	!	!	!
!	!	!	!
!	!	!	!
context	context	clause	concepts
!	!	!	!
negro	negro	regulation	regulation
!	!	!	!
!	!	!	!
!	!	!	!
hindwings	hindwings	forewings	forewings
!	!	!	!
miniature	miniature	lies	lies
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
accurate	accurate	neighbourhood	neighbourhood
george,	george,	actions.	mosque
"super	"super	interviewed	interviewed
occasion	occasion	bore	bore
10,000	10,000	similarity	similarity
"rolling	"rolling	"high	"high
gmina	temperatures	humans,	humans,
!	!	!	!
b-side	b-side	interviewed	back.
!	!	!	!
!	!	!	!
!	!	!	!
bullet	bullet	neighbourhood	neighbourhood
!	!	!	!
bullet	bullet	remix	remix
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
divorced	divorced	elements.	productions
!	!	!	!
pride	pride	earning	earning
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
germany.	germany.	idaho	idaho
continuity	continuity	flowers	flowers
1853	1853	earning	earning
!	!	!	!
!	!	!	!
known.	known.	upgrade	upgrade
divorced	divorced	ball,	ball,
!	!	!	!
eleventh	eleventh	counting	counting
!	!	!	!
!	!	!	!
!	!	!	!
spelled	funeral	chicago.	chicago.
stating	stating	depend	depend
conception	conception	stands	stands
city,	city,	feed	abbot
wing,	wing,	canton	laying
eleven	eleven	males.	males.
turkey.	turkey.	wine	wine
!	!	!	!
freshman	freshman	pageant	pageant
!	!	!	!
!	!	!	!
!	!	!	!
whatever	whatever	resulting	jennifer
!	!	!	!
social	social	berlin	berlin
!	!	!	!
!	!	!	!
