vulnerable	vulnerable	hip-hop	episode,
!	!	!	!
hits	hits	"top	"top
!	!	!	!
!	!	!	!
!	!	!	!
vulnerable	vulnerable	unusual	unusual
!	!	!	!
"note:	poll	oriented	oriented
!	!	!	!
!	!	!	!
!	!	!	!
vulnerable	vulnerable	confederate	peninsula
calcium	diet	mate	mate
uprising	uprising	aluminium	aluminium
!	!	!	!
!	!	!	!
category.	category.	simultaneously	simultaneously
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
"some	"some	marco	marco
fault	fault	hamilton	hamilton
cricketer	cricketer	affects	remembered
drink	drink	said.	said.
brain	prompted	engine.	engine.
park	park	say,	withdraw
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
patterns	patterns	freshwater	freshwater
!	!	!	!
remembered	remembered	56	scorer
!	!	!	!
!	!	!	!
!	!	!	!
patterns	patterns	clause	concepts
!	!	!	!
regulation	regulation	regulation	regulation
!	!	!	!
!	!	!	!
!	!	!	!
forewings	type,	forewings	forewings
!	!	!	!
dividing	dividing	lies	lies
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
specifically	specifically	neighbourhood	neighbourhood
duke	duke	actions.	mosque
objectives	objectives	interviewed	interviewed
extant	fictional	bore	bore
regiment	regiment	similarity	similarity
ii"	ii"	"high	"high
spectrum	so,	humans,	humans,
!	!	!	!
"daily	"daily	interviewed	back.
!	!	!	!
!	!	!	!
!	!	!	!
width	width	neighbourhood	neighbourhood
!	!	!	!
b-side	b-side	remix	remix
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
similarly,	similarly,	elements.	productions
!	!	!	!
watched	volleyball	earning	earning
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
germany.	germany.	idaho	idaho
teeth	teeth	flowers	flowers
million.	million.	earning	earning
!	!	!	!
!	!	!	!
consistent	consistent	upgrade	upgrade
baltic	baltic	ball,	ball,
!	!	!	!
million.	million.	counting	counting
!	!	!	!
!	!	!	!
!	!	!	!
evening,	evening,	chicago.	chicago.
terrestrial	terrestrial	depend	depend
jersey,	jersey,	stands	stands
19th-century	19th-century	feed	abbot
mountain,	mountain,	canton	laying
language	language	males.	males.
program	program	wine	wine
!	!	!	!
pageant	pageant	pageant	pageant
!	!	!	!
!	!	!	!
!	!	!	!
(but	(but	resulting	jennifer
!	!	!	!
product	product	berlin	berlin
!	!	!	!
!	!	!	!
!	!	!	!
play,	play,	she's	she's
!	!	!	!
wonderful	wonderful	dawn	dawn
!	!	!	!
!	!	!	!
!	!	!	!
makeup	makeup	happened	happened
!	!	!	!
wonderful	wonderful	rear	rear
!	!	!	!
!	!	!	!
!	!	!	!
jennifer	jennifer	happened	happened
!	!	!	!
records,	eurovision	eurovision	eurovision
!	!	!	!
!	!	!	!
!	!	!	!
intensity	greatly	yellow	yellow
plant.	plant.	wimbledon	wimbledon
armour	armour	yellow	yellow
!	!	!	!
!	!	!	!
23	23	malaysia.	malaysia.
sprint	sprint	brain	aforementioned
seed	seed	open,	open,
cemetery,	interrupted	1902,	1902,
!	!	!	!
!	!	!	!
1933,	1933,	flowering	flowering
occasional	occasional	usa,	usa,
following:	following:	acquiring	acquiring
santos	santos	forty	forty
!	!	!	!
!	!	!	!
olympics,	aside	aside	aside
management.	management.	theory	theory
!	!	!	!
romania.	romania.	infection	infection
!	!	!	!
!	!	!	!
!	!	!	!
unit	unit	large,	teeth
!	!	!	!
monuments	monuments	toured	toured
parking	parking	wards	wards
parking	parking	thrust	thrust
!	!	!	!
outer	strings	variable	variable
!	!	!	!
theorem	theorem	variable	variable
!	!	!	!
!	!	!	!
!	!	!	!
wimbledon	rode	pretty	pretty
!	!	!	!
ever	ever	treasurer	treasurer
!	!	!	!
!	!	!	!
!	!	!	!
vegetation	vegetation	vegetation	vegetation
training,	training,	heath	heath
might	might	perennial	perennial
!	!	!	!
!	!	!	!
statistical	statistical	capita	capita
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
shield	shield	performer	performer
south-west	south-west	heath	heath
montana	montana	treasurer	treasurer
anime	anime	marc	marc
hits	hits	santo	santo
statistical	statistical	peer	peer
