hip-hop	hip-hop	vulnerable	vulnerable
!	!	!	!
"top	"top	hits	hits
!	!	!	!
!	!	!	!
!	!	!	!
used,	used,	vulnerable	vulnerable
!	!	!	!
tournaments	oriented	"note:	poll
!	!	!	!
!	!	!	!
!	!	!	!
peninsula	peninsula	vulnerable	vulnerable
well,	well,	calcium	diet
prolific	prolific	uprising	uprising
!	!	!	!
!	!	!	!
simultaneously	simultaneously	category.	category.
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
marco	marco	"some	"some
neutral	neutral	fault	fault
second.	second.	cricketer	cricketer
said.	said.	drink	drink
saturday	suicide	brain	prompted
withdraw	withdraw	park	park
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
freshwater	freshwater	patterns	patterns
!	!	!	!
scorer	scorer	remembered	remembered
!	!	!	!
!	!	!	!
!	!	!	!
clause	identity	patterns	patterns
!	!	!	!
regulation	regulation	regulation	regulation
!	!	!	!
!	!	!	!
!	!	!	!
forewings	forewings	forewings	type,
!	!	!	!
barn	barn	dividing	dividing
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
neighbourhood	neighbourhood	specifically	specifically
man"	man"	duke	duke
interviewed	interviewed	objectives	objectives
occasion	occasion	extant	fictional
children’s	children’s	regiment	regiment
"high	"high	ii"	ii"
flexible	flexible	spectrum	so,
!	!	!	!
favourite	gets	"daily	"daily
!	!	!	!
!	!	!	!
!	!	!	!
finest	finest	width	width
!	!	!	!
remix	remix	b-side	b-side
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
hindu	hindu	similarly,	similarly,
!	!	!	!
earning	earning	watched	volleyball
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
idaho	idaho	germany.	germany.
flowers	flowers	teeth	teeth
earning	earning	million.	million.
!	!	!	!
!	!	!	!
upgrade	upgrade	consistent	consistent
derive	derive	baltic	baltic
!	!	!	!
earning	earning	million.	million.
!	!	!	!
!	!	!	!
!	!	!	!
chicago.	chicago.	evening,	evening,
depend	depend	terrestrial	terrestrial
stands	stands	jersey,	jersey,
abbot	abbot	19th-century	19th-century
laying	laying	mountain,	mountain,
males.	males.	language	language
wine	staged	program	program
!	!	!	!
pageant	pageant	pageant	pageant
!	!	!	!
!	!	!	!
!	!	!	!
