episode,	episode,	"great	thick
!	!	!	!
"top	"top	awards,	nominations
!	!	!	!
!	!	!	!
!	!	!	!
unusual	unusual	future,	future,
!	!	!	!
tournaments	oriented	awards,	awards,
!	!	!	!
!	!	!	!
!	!	!	!
defenders	peninsula	gun	gun
mate	mate	taste	taste
aluminium	aluminium	awards,	awards,
!	!	!	!
!	!	!	!
wing.	wing.	awards,	awards,
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
marco	marco	significantly	significantly
neutral	hamilton	school	school
there's	remembered	luck	luck
history.	history.	school	elementary
suicide	suicide	secondary	compared
say,	say,	summit	summit
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
mortality	patterns	trout	trout
!	!	!	!
56	remembered	animals	deer
!	!	!	!
!	!	!	!
!	!	!	!
clause	patterns	regulations	regime
!	!	!	!
regulation	regulation	rules,	statute
!	!	!	!
!	!	!	!
!	!	!	!
forewings	forewings	wingspan	wingspan
!	!	!	!
lies	lies	gauge	gauge
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
neighbourhood	neighbourhood	late	voivodeship,
man"	man"	britain	britain
interviewed	interviewed	late	20th
bore	bore	ancient	ancient
children’s	children’s	within	within
"high	"high	ever	ever
humans,	humans,	voivodeship,	gmina
!	!	!	!
acid	acid	chicken	chicken
!	!	!	!
!	!	!	!
!	!	!	!
finest	finest	voivodeship,	voivodeship,
!	!	!	!
1934,	1934,	"top	"top
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
hindu	hindu	upper	upper
!	!	!	!
earning	earning	pga	hand.
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
!	!	!	!
idaho	idaho	stories,	stories,
depend	depend	longer	longer
earning	earning	stories,	stories,
!	!	!	!
!	!	!	!
wingspan	upgrade	lowered	tallest
ball,	ball,	upper	tip
!	!	!	!
earning	earning	hand.	hand.
!	!	!	!
!	!	!	!
!	!	!	!
rows	occasions	within	within
depend	depend	younger	younger
stands	stands	tree,	tree,
feed	feed	outside	outside
laying	laying	upper	upper
males.	males.	younger	younger
staged	staged	kilometers	kilometers
!	!	!	!
pageant	pageant	container	container
!	!	!	!
!	!	!	!
!	!	!	!
resulting	jennifer	wingspan	wingspan
!	!	!	!
present-day	present-day	cities.	cities.
!	!	!	!
!	!	!	!
!	!	!	!
news"	news"	he's	he's
!	!	!	!
terminus	terminus	that's	that's
!	!	!	!
!	!	!	!
!	!	!	!
happened	happened	climate	climate
!	!	!	!
1977	1977	mild	mild
!	!	!	!
!	!	!	!
!	!	!	!
happened	happened	winner.	winner.
!	!	!	!
skating	skating	lighthouse	lighthouse
!	!	!	!
!	!	!	!
!	!	!	!
